index,movie_id,rate_x,rate_y,global_rate
59,a+good+job+stories+of+the+fdny+2014,4.0,3.0,0.0
60,a+good+marriage+1982,3.0,3.0,6.7
61,a+good+marriage+2014,4.0,3.0,5.1
62,a+grand+day+out+1990,4.333333333333333,3.0,7.4
63,a+history+of+violence+2005,5.0,3.0,6.9
64,a+lesson+before+dying+1999,3.0,3.0,4.0
65,a+letter+to+momo+2012,3.0,3.0,7.2
66,a+life+less+ordinary+1997,4.0,3.0,6.2
67,a+little+night+music+1977,4.0,4.0,7.5
68,a+lot+like+love+2005,4.0,3.0,6.5
69,a+man+escaped+1956,4.0,5.0,8.0
70,a+matter+of+dignity+1958,4.0,4.0,5.0
71,a+matter+of+life+and+death+1946,4.0,4.0,8.0
72,a+moment+to+remember+2004,5.0,3.5,7.6
73,a+night+at+the+movies+the+horrors+of+stephen+king+2011,3.0,3.0,7.7
74,a+passage+to+india+1984,3.6666666666666665,4.0,6.8
75,a+personal+journey+with+martin+scorsese+through+american+movies+1995,4.0,4.0,8.3
76,a+pigeon+sat+on+a+branch+reflecting+on+existence+2014,3.6666666666666665,4.0,6.6
77,a+prairie+home+companion+2006,2.5,3.0,6.4
78,a+princess+for+christmas+2011,3.0,4.0,6.4
79,a+room+with+a+view+1985,3.0,4.0,6.9
80,a+self-made+hero+1996,3.3333333333333335,4.0,6.1
81,a+short+film+about+killing+1989,4.5,4.0,7.6
82,a+short+film+about+love+1988,4.0,5.0,7.9
83,a+short+history+of+decay+2014,3.5,5.0,6.0
84,a+show+of+force+1990,3.0,4.0,3.7
85,a+single+man+2009,5.0,4.0,7.3
86,a+slave+of+love+1976,4.0,3.0,5.3
87,a+soldiers+story+1984,3.0,4.0,6.2
88,a+tale+of+two+sisters+2003,3.7777777777777777,4.0,7.0
89,a+taxing+woman+1987,3.5,4.0,5.8
90,a+time+of+roses+1969,4.0,3.0,5.0
91,a+time+to+love+and+a+time+to+die+1958,4.0,3.0,7.4
92,a+touch+of+sin+2013,2.5,3.0,7.3
93,a+very+long+engagement+2004,3.0,3.0,7.1
94,a+werewolf+boy+2012,4.0,3.0,7.8
95,a+woman+under+the+influence+1974,4.0,4.0,7.8
96,a+womans+face+1938,4.0,3.0,6.0
97,a+zed++two+noughts+1985,4.0,3.0,6.8
98,abbott+and+costello+meet+frankenstein+1948,3.0,3.0,7.4
99,abe+lincoln+in+illinois+1940,4.0,4.0,6.0
100,about+last+night...+1986,3.0,3.0,5.6
101,above+us+only+sky+2011,3.0,3.0,6.3
102,accident+1967,3.5,3.0,5.6
103,ace+of+aces+1982,3.0,3.0,6.7
104,across+the+wide+missouri+1951,4.0,3.0,4.9
105,acts+of+worship+2001,2.0,4.0,6.3
106,adams+apples+2005,3.0,4.0,7.4
107,addams+family+values+1993,2.8,3.0,6.5
108,admiral+2008,3.0,3.0,6.8
109,admission+2013,3.0,4.0,5.5
110,adrift+in+tokyo+2007,3.0,4.0,7.2
111,adventureland+2009,3.0,3.0,6.4
112,after+the+wedding+2006,4.0,4.0,7.2
113,afterburn+1992,4.0,4.0,4.3
114,afterwards+2008,3.0,4.0,5.7
115,airplane+1980,3.7857142857142856,4.0,7.1
116,akira+1988,4.0,4.0,7.8
117,aladdin+1992,3.742857142857143,3.65,7.4
118,alan++naomi+1992,3.0,4.0,4.3
119,alex+cross+2012,3.0,3.0,5.1
120,alexander+and+the+terrible_+horrible_+no+good_+very+bad+day+2014,3.0,3.0,6.1
121,alice+1990,3.5,4.0,6.3
122,alice+in+wonderland+1951,3.625,3.5789473684210527,7.0
123,alice+in+wonderland+2010,3.6,3.2,6.4
124,alien+1979,4.066666666666666,4.083333333333333,7.9
125,alien+raiders+2008,4.0,2.5,5.1
126,aliens+1986,4.172413793103448,3.9,7.7
127,aliisa+1970,3.0,5.0,0.0
128,alive+and+ticking+2011,5.0,3.0,6.2
129,all+about+lily+chou-chou+2001,4.0,3.5,6.6
130,all+quiet+on+the+western+front+1930,4.0,4.0,7.5
131,all+quiet+on+the+western+front+1979,3.0,3.0,5.9
132,all+that+glitters+2010,3.5,3.0,6.4
133,all+that+heaven+allows+1955,4.0,5.0,7.4
134,all+the+kings+men+1949,4.2,4.5,6.3
135,all+the+presidents+men+1976,4.093023255813954,4.142857142857143,7.6
136,all+things+fair+1995,3.0,4.333333333333333,6.1
137,aloha+summer+1988,4.0,3.0,2.5
138,along+the+great+divide+1951,3.0,4.0,7.0
139,alvin+and+the+chipmunks+the+squeakquel+2009,2.0,2.0,5.3
140,amadeus+1984,4.0,4.5,7.8
141,amandla+a+revolution+in+four-part+harmony+2002,3.0,5.0,8.0
142,ambush+1999,3.0,3.0,6.3
143,american+beauty+1999,4.5,5.0,7.9
144,american+dream+1990,4.0,4.0,6.0
145,american+friends+1991,3.0,3.0,6.2
146,american+gangster+2007,4.0,4.0,7.4
147,american+gothic+1988,3.0,4.0,5.8
148,american+mary+2012,4.0,4.0,5.8
149,american+pie+2+2001,3.3333333333333335,3.0,6.0
150,american+sniper+2014,3.25,3.5,7.4
151,amistad+1997,3.0,4.0,6.8
152,amores+perros+2000,4.5,5.0,7.6
153,amour+2012,4.0,2.0,7.5
154,an+affair+to+remember+1957,4.0,5.0,7.1
155,an+all+dogs+christmas+carol+1998,4.0,4.0,5.2
156,an+american+girl+mckenna+shoots+for+the+stars+2012,4.0,3.0,6.7
157,an+american+tail+the+mystery+of+the+night+monster+1999,3.0,3.0,5.8
158,an+american+tail+the+treasure+of+manhattan+island+1998,3.0,4.0,5.7
159,an+angel+at+my+table+1990,4.0,4.5,6.9
160,an+education+2009,3.5,5.0,6.9
161,an+inconvenient+truth+2006,4.0,3.5,6.7
162,an+occurrence+at+owl+creek+bridge+1962,3.5,5.0,8.5
163,an+unforgettable+summer+1994,4.0,4.0,7.2
164,an+unlikely+weapon+2009,4.0,3.0,0.0
165,anastasia+1997,4.111111111111111,3.5,7.4
166,anatomy+of+a+murder+1959,4.0,4.0,7.7
167,anchors+aweigh+1945,3.652173913043478,4.0,6.3
168,and+now+for+something+completely+different+1971,4.0,4.0,7.1
169,andrei+rublev+1966,5.0,3.0,8.0
170,angel+1984,3.0,4.0,5.9
171,angel+baby+1995,5.0,4.0,7.7
172,angel-a+2005,4.0,4.0,6.8
173,angels+with+dirty+faces+1938,3.5,3.5,7.6
174,animal+crackers+1930,4.5,5.0,7.2
175,animal+farm+1954,3.5,3.3333333333333335,6.8
176,anne+frank+remembered+1995,4.0,5.0,7.3
177,anne+of+the+thousand+days+1969,4.5,4.0,7.0
178,another+9+12+weeks+1997,5.0,4.0,4.4
179,another+year+2010,3.6666666666666665,3.0,7.0
180,anotherworld+2008,4.0,3.0,5.0
181,antitrust+2001,3.0,3.0,5.8
182,antwone+fisher+2002,4.5,3.0,6.7
183,any+wednesday+1966,3.5,4.0,6.1
184,aparajito+1956,4.0,4.0,7.9
185,apocalypse+now+1979,4.25,4.0,8.0
186,apocalypto+2006,3.0,3.5,7.3
187,apollo+13+1995,4.128205128205129,3.888888888888889,7.3
188,appleseed+alpha+2014,4.0,3.0,6.4
189,arachnoquake+2012,2.0,3.0,3.7
190,arbitrage+2012,4.0,3.0,6.1
191,arc+2006,3.0,4.0,6.0
192,arena+2011,3.0,4.0,5.0
193,arlington+road+1999,3.0,2.0,7.0
194,armored+car+robbery+1950,4.0,3.0,6.5
195,army+of+crime+2009,3.3333333333333335,3.0,6.7
196,arsne+lupin+returns+1938,3.0,4.0,6.5
197,arthur+christmas+2011,3.5,2.0,6.7
198,as+far+as+my+feet+will+carry+me+2001,4.0,4.0,6.9
199,assault+on+precinct+13+1976,3.0,2.0,7.1
200,assault+on+precinct+13+2005,4.0,3.0,6.0
201,asterix+and+the+big+fight+1989,3.0,4.0,6.5
202,asterix+in+britain+1986,4.0,2.0,6.8
203,at+any+price+2012,3.0,3.0,5.3
204,at+the+devils+door+2014,5.0,3.5,4.7
205,attenberg+2010,4.0,3.0,5.9
206,august+osage+county+2013,4.0,3.0,6.9
207,autumn+sonata+1978,4.666666666666667,4.333333333333333,7.8
208,avatar+2009,4.107142857142857,3.769230769230769,7.2
209,aziz+ansari+intimate+moments+for+a+sensual+evening+2010,4.0,3.5,6.9
210,azumi+2+death+or+love+2005,4.0,4.0,6.4
211,babbitt+1934,4.0,3.0,0.0
212,baby+boom+1987,3.0,4.0,6.0
213,baby+doll+1956,3.6666666666666665,3.0,7.2
214,babysitter+wanted+2009,3.0,4.0,5.3
215,bachelor+party+vegas+2006,4.0,4.5,5.0
216,back+to+the+future+1985,4.222222222222222,4.4,8.0
217,bad+ass+2+bad+asses+2014,1.0,4.0,5.7
218,bad+medicine+1985,4.0,4.0,4.5
219,bad+santa+2003,3.0,4.0,6.4
220,bad+taste+1987,4.0,4.0,6.4
221,baggage+claim+2013,3.0,3.0,5.6
222,ballet+shoes+2008,3.3333333333333335,3.2,6.3
223,bambi+1942,3.6315789473684212,3.4,6.8
224,barbary+coast+1935,4.0,3.0,4.8
225,barbie+a+perfect+christmas+2011,3.5,2.0,5.5
226,barbie+in+the+nutcracker+2001,3.0,3.0,6.4
227,barrier+1966,4.0,4.5,6.7
228,barry+lyndon+1975,3.5,3.0,7.7
229,batman++mr.+freeze+subzero+1998,4.0,3.0,6.9
230,batman+begins+2005,4.055555555555555,4.0,7.5
231,batman+the+dark+knight+returns_+part+2+2013,3.0,3.0,7.9
232,batman+year+one+2011,3.0,3.0,7.1
233,battle+in+seattle+2007,3.0,4.0,6.3
234,battle+of+britain+1969,4.0,3.0,6.5
235,battle+of+the+year+2013,4.0,4.0,5.9
236,beat+the+devil+1953,3.0,4.0,6.2
237,beau+geste+1939,3.0,3.0,7.0
238,beautiful+girls+1996,3.0,4.5,6.6
239,beautiful+thing+1996,4.0,4.0,7.3
240,beauty+and+the+beast+1991,3.689655172413793,3.5833333333333335,7.5
241,beauty+and+the+beast+the+enchanted+christmas+1997,3.5,3.3333333333333335,5.9
242,bedazzled+1967,4.0,4.0,6.3
243,bedknobs+and+broomsticks+1971,3.0,3.0,6.8
244,beerfest+2006,2.0,2.0,5.8
245,beethovens+treasure+tail+2014,4.0,4.0,6.7
246,beetlejuice+1988,3.625,3.727272727272727,7.1
247,before+flying+back+to+earth+2005,3.0,3.0,6.0
248,before+i+go+to+sleep+2014,3.0,3.0,6.2
249,begin+again+2013,3.6666666666666665,4.0,7.3
250,begotten+1990,3.0,3.0,5.0
251,behind+enemy+lines+2001,3.0,4.0,6.0
252,behind+enemy+lines+iii+colombia+2009,4.0,3.0,5.0
253,behind+the+mask+the+rise+of+leslie+vernon+2006,4.0,4.0,6.6
254,being+john+malkovich+1999,3.0,3.0,7.3
255,being+there+1979,3.5,3.0,7.7
256,belle+de+jour+1967,4.0,4.0,7.3
257,belle+poque+1992,4.333333333333333,3.0,6.9
258,beloved+2011,3.5,4.0,6.7
259,bereavement+2010,4.0,3.0,5.2
260,berserk+the+golden+age+arc+3+-+the+advent+2013,3.0,3.0,7.4
261,bertsolari+2011,4.0,4.0,0.0
262,beverly+hills+chihuahua+3+-+viva+la+fiesta+2012,3.0,4.0,5.8
263,beware+of+mr.+baker+2012,3.0,4.0,7.5
264,bey+yaar+2014,3.6666666666666665,3.0,8.0
265,beyond+rangoon+1995,3.0,3.0,6.4
266,beyond+the+forest+1949,4.0,4.0,5.9
267,beyond+the+sea+2004,3.0,3.0,6.5
268,bicycle+thieves+1948,3.5,4.0,8.0
269,big+business+1988,3.0,2.0,5.8
270,big+girls+dont+cry+2002,3.6666666666666665,4.0,6.4
271,big+hero+6+2014,3.8142857142857145,4.235294117647059,7.8
272,big+night+1996,4.0,4.0,6.8
273,big+sur+2013,3.0,4.0,4.8
274,big+trouble+2002,3.0,4.0,6.3
275,big+trouble+in+little+china+1986,3.0,4.0,7.1
276,bill+bailey+qualmpeddler+2013,3.5,4.0,7.3
277,bill+hicks+revelations+1993,4.0,5.0,8.5
278,billy+liar+1963,4.0,4.0,6.7
279,birthday+girl+2001,3.0,3.0,6.1
280,bitter+feast+2010,4.5,4.0,5.5
281,bitter+victory+1957,3.0,3.0,6.5
282,black++white++sex+2012,3.4,4.0,6.3
283,black+butterflies+2011,3.0,4.0,6.0
284,black+dynamite+2009,3.5,4.0,7.3
285,black+rock+2012,3.6666666666666665,5.0,4.9
286,black+sea+2014,2.6666666666666665,3.0,6.2
287,blackadders+christmas+carol+1988,3.0,5.0,7.6
288,blackfish+2013,4.0,4.0,7.9
289,blade+runner+1982,4.090909090909091,4.125,7.9
290,blades+of+glory+2007,3.5,3.5,5.9
291,bless+the+beasts++children+1971,4.0,2.0,8.8
292,bless+the+child+2000,3.5,2.0,4.9
293,blind+2011,4.0,2.0,7.5
294,blind+massage+2014,3.0,4.0,7.9
295,blind+mountain+2007,3.0,3.0,7.4
296,blood+in+the+mobile+2010,5.0,4.0,8.1
297,blood+of+dracula+1957,3.0,3.0,4.3
298,blood+on+the+sun+1945,3.0,3.0,5.1
299,blood+simple+1984,3.6666666666666665,5.0,7.3
300,blood+tide+1982,3.0,4.0,5.8
301,bloomington+2010,4.0,3.0,6.2
302,blue+1993,3.5,4.0,7.5
303,blue+is+the+warmest+color+2013,4.333333333333333,4.0,7.2
304,blue+jasmine+2013,4.0,4.0,7.0
305,blue+skies+1946,2.0,3.0,6.3
306,blue+valentine+2010,4.0,4.0,6.9
307,bob+le+flambeur+1956,4.25,4.0,7.5
308,bobs+birthday+1994,3.6666666666666665,5.0,6.6
309,body+bags+1993,4.0,3.0,5.7
310,body+heat+1981,3.0,4.0,7.1
311,body+of+water+2011,2.0,5.0,6.0
312,bolt+2008,3.6666666666666665,4.0,6.3
313,bookwars+2000,4.0,4.0,0.0
314,borat+cultural+learnings+of+america+for+make+benefit+glorious+nation+of+kazakhstan+2006,4.0,4.0,6.5
315,border+run+2012,3.0,3.0,5.4
316,borgman+2013,3.0,4.0,6.6
317,born+in+east+l.a.+1987,3.0,2.0,5.9
318,born+into+brothels+2004,5.0,4.0,6.7
319,boulevard+1994,4.0,2.0,3.7
320,bound+for+glory+1976,5.0,3.0,7.0
321,boys+1977,5.0,4.0,7.6
322,boys+dont+cry+1999,4.0,4.0,7.2
323,boys+life+3+2000,3.0,4.0,6.7
324,boys+love+2006,5.0,3.0,2.8
325,boys+town+1938,3.0,4.0,6.6
326,boyz+n+the+hood+1991,4.0,4.0,7.4
327,brassed+off+1996,5.0,4.0,6.9
328,brave+2012,3.7142857142857144,3.5,6.7
329,braveheart+1995,3.8,3.0,7.7
330,breaking+and+entering+2011,5.0,3.0,7.0
331,breaking+away+1979,4.5,5.0,7.4
332,breaking+the+surface+the+greg+louganis+story+1997,3.5,3.0,4.9
333,breaking+the+waves+1996,5.0,5.0,7.2
334,breakout+2013,4.0,4.0,4.3
335,brief+encounter+1945,4.75,4.0,7.6
336,bright+future+2003,5.0,3.0,6.8
337,bright+lights+1935,4.0,3.0,0.0
338,bringing+up+baby+1938,4.0,4.0,7.6
339,broadway+1929,5.0,4.5,0.0
340,broadway+damage+1997,3.0,3.0,6.0
341,broadway+idiot+2013,3.5,3.0,6.8
342,broadway+rhythm+1944,3.0,4.0,0.0
343,broken+blossoms+1919,4.0,4.0,6.9
344,bronies+the+extremely+unexpected+adult+fans+of+my+little+pony+2012,5.0,3.0,5.5
345,brother+bear+2+2006,3.0,3.0,6.3
346,brother+bear+2003,3.3333333333333335,4.0,6.9
347,bruce+almighty+2003,3.235294117647059,3.375,6.4
348,buffalo+66+1998,4.0,3.0,7.2
349,buffet+froid+1979,2.0,4.0,6.6
350,bullet+in+the+head+1990,4.5,4.0,7.7
351,burne+2008,3.6666666666666665,4.0,7.8
352,bush+mama+1979,3.0,4.0,5.0
353,but+im+a+cheerleader+1999,4.0,4.0,6.5
354,cabaret+1972,4.0,3.0,7.4
355,cabin+fever+patient+zero+2014,3.0,4.0,4.7
356,cactus+flower+1969,4.0,3.0,7.0
357,callan+1974,4.0,4.0,0.0
358,calle+54+2000,3.5,3.0,6.0
359,calvary+2014,4.0,3.0,7.1
360,camarn+when+flamenco+became+legend+2005,3.0,5.0,6.6
361,camp+de+thiaroye+1988,3.0,3.0,5.5
362,cane+toads+the+conquest+2010,4.0,3.0,6.8
363,capital+2012,4.0,2.0,5.4
364,captain+phillips+2013,3.5,4.0,7.6
365,captains+courageous+1937,3.5,4.0,6.7
366,capturing+the+friedmans+2003,3.6666666666666665,4.0,7.4
367,carlos+2010,5.0,4.0,6.7
368,carnage+2011,3.75,5.0,7.0
369,casablanca+1942,3.6666666666666665,4.333333333333333,7.9
370,casino+1995,3.8,4.0,7.8
371,casino+jack+2010,4.0,3.0,6.0
372,casino+royale+2006,3.9310344827586206,4.142857142857143,7.3
373,casting+by+2012,4.0,5.0,7.5
374,castle+in+the+sky+1986,4.040816326530612,4.333333333333333,7.8
375,cat+on+a+hot+tin+roof+1958,4.0,5.0,7.6
376,cat+run+2011,4.0,3.0,6.0
377,catch-22+1970,3.0,3.0,6.7
378,cause+for+alarm+1951,3.0,3.5,5.6
379,cellular+2004,4.5,3.0,6.1
380,certified+copy+2010,3.0,5.0,7.4
381,chalet+girl+2011,4.0,4.0,6.4
382,changeling+2008,4.0,4.0,7.3
383,chappie+2015,3.4705882352941178,3.8333333333333335,6.6
384,character+1997,4.0,3.0,7.7
385,charade+1963,4.5,4.0,7.7
386,charlie+and+the+chocolate+factory+2005,3.4705882352941178,3.8,6.7
387,charlie+countryman+2013,4.5,4.0,6.4
388,charlie+wilsons+war+2007,3.6666666666666665,3.0,6.5
389,charlottes+web+2006,2.0,3.0,5.8
390,chasing+ice+2012,4.0,4.0,7.4
391,cheeky+2000,3.1538461538461537,3.0,5.5
392,chelsea+on+the+rocks+2008,3.0,4.0,6.2
393,cheyenne+autumn+1964,3.3333333333333335,4.0,5.6
394,chicagogirl+2013,3.5,4.0,7.0
395,chicken+little+2005,3.111111111111111,2.0,5.6
396,chicken+run+2000,3.8823529411764706,4.166666666666667,6.5
397,child+bride+1938,3.0,4.0,4.7
398,child+of+rage+1992,4.0,3.0,4.8
399,children+in+the+wind+1937,4.0,4.0,10.0
400,children+of+heaven+1997,4.2,4.5,7.8
401,children+of+hiroshima+1952,3.0,3.0,5.9
402,children+of+men+2006,5.0,4.0,7.4
403,children+of+paradise+1945,4.0,5.0,7.9
404,children+of+the+revolution+1996,4.0,3.0,5.3
405,chimes+at+midnight+1965,4.25,4.0,6.8
406,chinatown+1974,4.666666666666667,4.0,7.9
407,chris+rock+bigger++blacker+1999,3.0,3.0,7.8
408,christmas+in+august+1998,4.0,3.0,7.4
409,christmas+in+july+1940,5.0,4.0,6.7
410,cinderella+1950,3.375,3.7142857142857144,6.8
411,cinderella+2015,3.4482758620689653,3.75,6.7
412,cinderella+man+2005,4.0,4.0,7.3
413,cinema+paradiso+1988,4.0,4.0,8.2
414,cinemania+2002,4.0,5.0,7.1
415,citizen+x+1995,4.0,4.0,6.9
416,citizenfour+2014,4.333333333333333,4.0,7.9
417,city+hunter+1993,3.0,3.0,6.3
418,city+of+ember+2008,3.5,3.0,6.2
419,clash+of+the+titans+1981,2.0,3.0,6.8
420,cleopatra+2003,3.0,3.0,4.7
421,clerks+1994,3.0,2.0,7.4
422,clo+from+5+to+7+1962,4.0,4.0,7.7
423,cloak++dagger+1984,4.0,4.0,6.2
424,clockers+1995,4.0,3.0,6.8
425,close+encounters+of+the+third+kind+1977,3.888888888888889,4.125,7.2
426,close+your+eyes+2002,4.0,3.5,5.6
427,close-up+1990,4.5,4.0,8.0
428,closely+watched+trains+1966,4.666666666666667,4.0,7.3
429,cloudy+with+a+chance+of+meatballs+2+2013,3.111111111111111,3.2,6.4
430,clown+2014,3.0,4.0,5.3
431,coach+carter+2005,3.0,5.0,7.3
432,cobra+woman+1944,3.0,3.0,5.8
433,cold+around+the+heart+1997,2.5,3.0,4.5
434,cold+mountain+2003,4.0,4.0,6.7
435,cold+sweat+1970,3.0,4.0,5.3
436,color+of+night+1994,2.0,3.0,5.4
437,colour+me+kubrick+2005,2.0,3.0,6.1
438,combat+girls+2011,4.0,4.0,7.0
439,come+undone+2000,4.0,3.0,6.1
440,comedy+of+innocence+2000,5.0,3.0,5.0
441,comet+2014,3.6666666666666665,4.0,6.8
442,comic-con+episode+iv+a+fans+hope+2011,4.0,3.0,6.6
443,common+wealth+2000,5.0,4.0,6.9
444,conan+obrien+cant+stop+2011,4.0,4.0,6.2
445,conan+the+barbarian+1982,3.272727272727273,2.5,6.6
446,confidence+2003,4.0,3.0,6.4
447,confidential+agent+1945,4.0,3.0,4.3
448,conquest+1453+2012,3.0,3.5,6.4
449,conspiracy+2001,4.0,4.0,6.9
450,constantine+2005,3.3658536585365852,3.5652173913043477,6.6
451,contract+killer+1998,2.5,3.5,6.2
452,control+2007,3.5,3.5,7.5
453,control+room+2004,3.0,4.0,7.7
454,conviction+2010,3.3333333333333335,4.0,7.0
455,cooking+up+dreams+2009,4.0,3.0,0.0
456,cooking+with+stella+2010,4.0,4.0,6.0
457,coraline+2009,3.7837837837837838,3.9166666666666665,7.3
458,corridors+of+blood+1958,4.0,3.0,6.3
459,courage+under+fire+1996,4.0,3.0,6.2
460,cowboy+1958,4.0,4.0,6.2
461,cq+2001,4.0,3.0,6.0
462,crack-up+1946,4.0,3.0,4.7
463,cracks+2009,3.5,3.0,6.6
464,crazy_+stupid_+love.+2011,3.6666666666666665,4.5,7.0
465,crime+after+crime+2011,4.0,4.0,5.3
466,crime+story+1993,4.0,4.0,6.7
467,crisis+1950,2.0,3.6666666666666665,6.0
468,crooks+in+clover+1963,3.0,4.0,7.8
469,cross+of+iron+1977,4.0,3.5,6.6
470,crossed+tracks+2007,5.0,4.0,6.6
471,crossroads+1986,4.0,3.3333333333333335,6.9
472,crumb+1994,4.0,3.0,7.6
473,csnydj+vu+2008,4.0,3.0,0.0
474,cube+1997,4.0,3.0,6.9
475,cul-de-sac+1966,4.0,4.0,6.9
476,cure+1997,3.0,4.0,7.4
477,cyberbully+2011,3.0,4.0,6.4
478,cypher+2002,4.0,4.0,6.7
479,cyrano+de+bergerac+1990,4.0,4.0,6.8
480,daisies+1966,3.5,4.5,7.3
481,dallas+buyers+club+2013,4.0,4.0,7.9
482,damien+omen+ii+1978,3.0,2.0,6.1
483,dan+in+real+life+2007,3.0,3.0,6.5
484,dance+me+outside+1995,3.0,3.0,7.0
485,dances+with+wolves+1990,3.8421052631578947,4.333333333333333,7.6
486,dark+angel+the+ascent+1994,3.5,4.0,4.7
487,dark+skies+2013,2.5,3.0,6.1
488,dark+star+1974,4.0,4.0,6.0
489,dark+water+2002,3.5,3.5,6.7
490,darker+than+night+2014,3.0,4.0,4.0
491,darkest+night+2012,4.0,3.0,1.3
492,daughters+of+darkness+1971,4.0,3.0,5.9
493,dave+1993,3.75,3.6666666666666665,6.3
494,dawn+of+the+planet+of+the+apes+2014,3.9444444444444446,4.0,7.3
495,day+for+night+1973,3.0,4.0,8.0
496,day+of+wrath+1943,4.0,4.0,8.3
497,days+of+wine+and+roses+1962,4.0,5.0,7.5
498,dazed+and+confused+1993,4.0,3.0,7.4
499,dead+end+1937,4.0,4.0,7.1
500,dead+man+walking+1995,4.0,3.0,7.3
501,dead+reckoning+1947,4.0,4.0,6.4
502,dead+souls+2012,3.0,5.0,3.9
503,deadly+advice+1994,3.0,4.0,0.0
504,deal+of+the+century+1983,3.0,4.0,4.8
505,dear+frankie+2004,4.0,4.0,7.1
506,death+sentence+2007,3.0,2.5,6.4
507,deathtrap+1982,3.0,3.0,6.7
508,decasia+2002,2.0,4.0,6.7
509,deceit+1992,3.0,3.0,0.0
510,deep+blue+sea+1999,2.75,2.0,5.6
511,deep+sea+3d+2006,5.0,4.0,5.7
512,defiance+2008,4.0,3.5,6.7
513,delirium+2014,4.5,4.0,6.6
514,derailed+2005,4.0,3.0,6.1
515,dersu+uzala+1975,3.0,4.5,8.0
516,desert+flower+2009,4.0,4.0,7.2
517,despicable+me+2+2013,3.7,3.5833333333333335,7.0
518,despicable+me+2010,3.8205128205128207,3.7777777777777777,7.1
519,detachment+2011,4.0,3.0,7.3
520,detective+dee+and+the+mystery+of+the+phantom+flame+2010,3.0,4.0,6.5
521,detour+1945,4.0,4.0,7.3
522,dexter+the+dragon++bumble+the+bear+1983,4.0,4.0,7.3
523,dhobi+ghat+2011,4.0,3.0,6.7
524,diabolique+1955,4.0,5.0,7.9
525,dial+m+for+murder+1954,3.8536585365853657,4.166666666666667,7.9
526,diana+vreeland+the+eye+has+to+travel+2012,4.0,4.0,7.0
527,diary+of+a+country+priest+1951,4.333333333333333,4.0,7.7
