time,userid,movieid,rating
2023-11-29 20:07:03,423012,the+cat+came+back+1988,4
2023-11-29 20:07:03,688311,whiplash+2014,3
2023-11-29 20:07:03,307737,the+lord+of+the+rings+the+two+towers+2002,5
2023-11-29 20:07:03,612903,pulp+fiction+1994,4
2023-11-29 20:07:03,31129,sex+is+comedy+2002,4
2023-11-29 20:07:03,130680,pulp+fiction+1994,5
2023-11-29 20:07:03,533607,interstellar+2014,5
2023-11-29 20:07:04,518695,day+of+wrath+1943,4
2023-11-29 20:07:04,374037,whiplash+2014,5
2023-11-29 20:07:04,573667,interstellar+2014,4
2023-11-29 20:07:04,363559,gone+2012,3
2023-11-29 20:07:04,221776,attenberg+2010,3
2023-11-29 20:07:04,772592,body+heat+1981,5
2023-11-29 20:07:04,358507,the+lord+of+the+rings+the+return+of+the+king+2003,4
2023-11-29 20:07:04,290719,whiplash+2014,3
2023-11-29 20:07:05,488987,dorian+gray+2009,4
2023-11-29 20:07:05,131146,star+wars+1977,4
2023-11-29 20:07:05,400083,the+lord+of+the+rings+the+two+towers+2002,5
2023-11-29 20:07:05,755164,tokyo+gore+police+2008,2
2023-11-29 20:07:05,402832,the+avengers+2012,4
2023-11-29 20:07:05,277829,seven+samurai+1954,4
2023-11-29 20:07:06,807653,chicken+run+2000,5
2023-11-29 20:07:06,13821,cinderella+1950,4
2023-11-29 20:07:06,337322,tokyo+godfathers+2003,4
2023-11-29 20:07:06,745517,the+shawshank+redemption+1994,5
2023-11-29 20:07:06,787203,christmas+in+august+1998,3
2023-11-29 20:07:06,595465,pulp+fiction+1994,4
2023-11-29 20:07:06,208660,for+love+or+country+the+arturo+sandoval+story+2000,3
2023-11-29 20:07:07,71855,scrooge+1970,4
2023-11-29 20:07:07,101210,lola+2006,3
2023-11-29 20:07:07,320792,largo+winch+ii+2011,2
2023-11-29 20:07:07,379227,one+flew+over+the+cuckoos+nest+1975,5
2023-11-29 20:07:07,413,father+and+son+2003,3
2023-11-29 20:07:07,655505,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:07:07,176426,my+neighbor+totoro+1988,4
2023-11-29 20:07:08,662292,the+gods+must+be+crazy+1980,4
2023-11-29 20:07:08,195678,the+league+of+gentlemen+1960,3
2023-11-29 20:07:08,732378,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,5
2023-11-29 20:07:08,756843,deadly+voyage+1996,5
2023-11-29 20:07:08,632237,inglourious+basterds+2009,4
2023-11-29 20:07:08,344826,inception+2010,4
2023-11-29 20:07:08,777455,cheap+thrills+2013,4
2023-11-29 20:07:09,245555,knife+in+the+water+1962,4
2023-11-29 20:07:09,110266,the+lord+of+the+rings+the+return+of+the+king+2003,3
2023-11-29 20:07:09,1954,addams+family+values+1993,3
2023-11-29 20:07:09,776166,one+true+thing+1998,4
2023-11-29 20:07:09,189299,alien+1979,4
2023-11-29 20:07:09,38567,one+flew+over+the+cuckoos+nest+1975,4
2023-11-29 20:07:09,528703,the+taking+of+pelham+one+two+three+1974,4
2023-11-29 20:07:09,403988,winnie+the+pooh+and+the+honey+tree+1966,4
2023-11-29 20:07:09,579858,whiplash+2014,4
2023-11-29 20:07:09,283883,whiplash+2014,4
2023-11-29 20:07:10,498827,cars+2+2011,3
2023-11-29 20:07:10,204750,easy+a+2010,3
2023-11-29 20:07:10,506393,train+of+life+1998,3
2023-11-29 20:07:10,685153,the+lord+of+the+rings+the+two+towers+2002,5
2023-11-29 20:07:10,700477,toy+story+1995,5
2023-11-29 20:07:10,554855,the+bourne+supremacy+2004,4
2023-11-29 20:07:10,596519,castle+in+the+sky+1986,4
2023-11-29 20:07:10,588048,dersu+uzala+1975,4
2023-11-29 20:07:10,419834,se7en+1995,5
2023-11-29 20:07:11,599337,megamind+2010,4
2023-11-29 20:07:11,692220,the+lords+of+discipline+1983,3
2023-11-29 20:07:11,519123,pulp+fiction+1994,5
2023-11-29 20:07:11,792002,in+the+shadow+of+the+machine+1928,4
2023-11-29 20:07:11,40031,legend+of+the+red+dragon+1994,4
2023-11-29 20:07:11,199022,fade+to+black+2006,4
2023-11-29 20:07:11,480261,flock+of+dodos+the+evolution-intelligent+design+circus+2006,4
2023-11-29 20:07:11,712411,stalker+1979,3
2023-11-29 20:07:12,56067,whiplash+2014,3
2023-11-29 20:07:12,806337,the+suspended+vocation+1978,5
2023-11-29 20:07:12,114612,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:07:12,318946,the+dark+knight+rises+2012,5
2023-11-29 20:07:12,720132,big+hero+6+2014,4
2023-11-29 20:07:13,681783,ice+age+2002,3
2023-11-29 20:07:13,318419,czech+dream+2004,3
2023-11-29 20:07:13,732102,the+fountain+2006,3
2023-11-29 20:07:13,175182,a+woman+rebels+1936,3
2023-11-29 20:07:13,734576,pulp+fiction+1994,5
2023-11-29 20:07:13,643791,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:07:13,707481,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:07:14,637421,double+indemnity+1944,3
2023-11-29 20:07:14,306429,the+lord+of+the+rings+the+two+towers+2002,5
2023-11-29 20:07:14,153589,lymelife+2008,4
2023-11-29 20:07:14,40192,crime+busters+1977,4
2023-11-29 20:07:14,2492,tromeo++juliet+1996,4
2023-11-29 20:07:14,424670,much+ado+about+nothing+2012,4
2023-11-29 20:07:14,619907,primal+2010,4
2023-11-29 20:07:14,112788,the+howards+of+virginia+1940,3
2023-11-29 20:07:14,269338,whiplash+2014,5
2023-11-29 20:07:14,116670,helsinki+napoli+-+all+night+long+1987,4
2023-11-29 20:07:15,170424,la+luna+2011,5
2023-11-29 20:07:15,221348,the+brass+legend+1956,3
2023-11-29 20:07:15,139460,harry+potter+and+the+deathly+hallows+part+2+2011,4
2023-11-29 20:07:15,191193,beneath+the+valley+of+the+ultra-vixens+1979,3
2023-11-29 20:07:15,158396,pulp+fiction+1994,5
2023-11-29 20:07:15,257576,the+lord+of+the+rings+the+return+of+the+king+2003,5
2023-11-29 20:07:16,702575,men+in+black+1997,3
2023-11-29 20:07:16,129855,my+neighbor+totoro+1988,4
2023-11-29 20:07:16,599008,littlerock+2010,3
2023-11-29 20:07:17,604924,big+wednesday+1978,4
2023-11-29 20:07:17,753593,pulp+fiction+1994,4
2023-11-29 20:07:17,661284,crime+after+crime+2011,4
2023-11-29 20:07:17,454874,grip+of+the+strangler+1958,4
2023-11-29 20:07:17,410541,the+intouchables+2011,3
2023-11-29 20:07:17,65834,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:07:18,704616,the+flower+of+my+secret+1995,4
2023-11-29 20:07:18,33067,101+reykjavik+2000,3
2023-11-29 20:07:18,601607,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:07:19,369930,whiplash+2014,4
2023-11-29 20:07:19,511864,pulp+fiction+1994,4
2023-11-29 20:07:19,715871,wild+boys+of+the+road+1933,4
2023-11-29 20:07:19,648293,the+battery+2012,4
2023-11-29 20:07:19,72249,melody+time+1948,4
2023-11-29 20:07:19,227718,pulp+fiction+1994,5
2023-11-29 20:07:19,745306,one+flew+over+the+cuckoos+nest+1975,5
2023-11-29 20:07:20,581699,dragon+ball+z+broly+-+the+legendary+super+saiyan+1993,4
2023-11-29 20:07:20,670180,kill+me+later+2001,3
2023-11-29 20:07:20,274754,the+matrix+1999,3
2023-11-29 20:07:20,775910,rebels+of+the+neon+god+1993,4
2023-11-29 20:07:20,497418,tales+from+the+organ+trade+2013,4
2023-11-29 20:07:20,218285,the+lord+of+the+rings+the+two+towers+2002,5
2023-11-29 20:07:21,448893,for+love+and+gold+1966,3
2023-11-29 20:07:21,738485,flamenco+1995,3
2023-11-29 20:07:21,369870,the+lord+of+the+rings+the+return+of+the+king+2003,4
2023-11-29 20:07:21,410711,jean-luc+cinema+godard+2009,3
2023-11-29 20:07:22,768494,cyrano+de+bergerac+1990,4
2023-11-29 20:07:22,806279,road+train+2010,1
2023-11-29 20:07:22,167206,constantine+2005,4
2023-11-29 20:07:22,424275,thor+2011,4
2023-11-29 20:07:22,520715,the+lords+of+salem+2012,4
2023-11-29 20:07:22,509197,terminator+2+judgment+day+1991,4
2023-11-29 20:07:22,97625,seven+samurai+1954,5
2023-11-29 20:07:22,801173,dexter+the+dragon++bumble+the+bear+1983,4
2023-11-29 20:07:22,470119,undead+2003,4
2023-11-29 20:07:22,768058,interstellar+2014,4
2023-11-29 20:07:22,405032,miss+potter+2006,5
2023-11-29 20:07:22,645870,the+human+pyramid+1899,2
2023-11-29 20:07:23,120064,zatichis+flashing+sword+1964,4
2023-11-29 20:07:23,757264,three+on+a+match+1932,4
2023-11-29 20:07:23,519550,tangled+2010,4
2023-11-29 20:07:23,388193,the+lord+of+the+rings+the+two+towers+2002,5
2023-11-29 20:07:23,759496,one+flew+over+the+cuckoos+nest+1975,5
2023-11-29 20:07:23,372315,the+adventures+of+hajji+baba+1954,3
2023-11-29 20:07:23,264368,love+1971,3
2023-11-29 20:07:23,48521,ellie+parker+2005,3
2023-11-29 20:07:23,276852,the+day+the+earth+stood+still+1951,4
2023-11-29 20:07:24,544504,ouija+2014,2
2023-11-29 20:07:24,3993,alive+and+ticking+2011,3
2023-11-29 20:07:24,798786,gone+girl+2014,4
2023-11-29 20:07:24,341256,night+on+the+galactic+railroad+1985,3
2023-11-29 20:07:24,433978,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:07:24,346641,a+womans+face+1938,3
2023-11-29 20:07:24,673978,he+was+a+quiet+man+2007,2
2023-11-29 20:07:24,416153,napoleon+dynamite+2004,3
2023-11-29 20:07:25,569199,restoration+1995,2
2023-11-29 20:07:25,586566,pulp+fiction+1994,4
2023-11-29 20:07:25,77598,sawdust+and+tinsel+1953,4
2023-11-29 20:07:25,372682,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:07:26,699666,interstellar+2014,4
2023-11-29 20:07:26,190643,coraline+2009,4
2023-11-29 20:07:26,10130,the+sacrament+2013,4
2023-11-29 20:07:26,694458,my+neighbor+totoro+1988,4
2023-11-29 20:07:26,49744,one+flew+over+the+cuckoos+nest+1975,5
2023-11-29 20:07:26,387905,bikini+spring+break+2012,3
2023-11-29 20:07:27,742163,ted+2012,5
2023-11-29 20:07:27,215523,harry+potter+and+the+half-blood+prince+2009,4
2023-11-29 20:07:27,650313,the+lord+of+the+rings+the+return+of+the+king+2003,4
2023-11-29 20:07:27,281267,whiplash+2014,5
2023-11-29 20:07:27,23438,pulp+fiction+1994,4
2023-11-29 20:07:27,375181,emma+1996,5
2023-11-29 20:07:27,657048,warm+water+under+a+red+bridge+2001,3
2023-11-29 20:07:28,220451,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:07:28,110678,back+from+eternity+1956,3
2023-11-29 20:07:28,393531,alice+in+wonderland+1951,3
2023-11-29 20:07:28,246954,one+flew+over+the+cuckoos+nest+1975,4
2023-11-29 20:07:28,180703,peter+pan+1953,3
2023-11-29 20:07:28,79864,oculus+2013,4
2023-11-29 20:07:28,738281,elevator+to+the+gallows+1958,3
2023-11-29 20:07:28,71157,monsters+university+2013,3
2023-11-29 20:07:28,612997,the+bodyguard+1973,4
2023-11-29 20:07:29,512779,three+smart+girls+grow+up+1939,4
2023-11-29 20:07:29,553046,the+lord+of+the+rings+the+return+of+the+king+2003,5
2023-11-29 20:07:29,728533,pulp+fiction+1994,5
2023-11-29 20:07:29,381617,a+flower+1971,5
2023-11-29 20:07:29,249204,mr.+death+the+rise+and+fall+of+fred+a.+leuchter_+jr.+1999,4
2023-11-29 20:07:29,178396,the+soft+skin+1964,3
2023-11-29 20:07:29,166022,whiplash+2014,4
2023-11-29 20:07:30,646387,happy-go-lucky+2008,5
2023-11-29 20:07:30,79567,the+terminator+1984,3
2023-11-29 20:07:30,681665,breaking+the+waves+1996,5
2023-11-29 20:07:30,212259,voices+of+a+distant+star+2002,4
2023-11-29 20:07:30,551209,the+shawshank+redemption+1994,4
2023-11-29 20:07:30,247296,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:07:30,598034,my+neighbor+totoro+1988,4
2023-11-29 20:07:30,219178,the+lord+of+the+rings+the+return+of+the+king+2003,5
2023-11-29 20:07:30,194892,trading+places+1983,4
2023-11-29 20:07:31,92893,whiplash+2014,4
2023-11-29 20:07:31,109867,kung+fu+dunk+2008,3
2023-11-29 20:07:31,5238,the+lord+of+the+rings+the+two+towers+2002,5
2023-11-29 20:07:31,54373,the+dark+knight+rises+2012,4
2023-11-29 20:07:31,785604,the+maltese+falcon+1931,5
2023-11-29 20:07:31,586073,a+pigeon+sat+on+a+branch+reflecting+on+existence+2014,4
2023-11-29 20:07:31,505809,the+lord+of+the+rings+the+return+of+the+king+2003,4
2023-11-29 20:07:32,445779,the+fool+2014,4
2023-11-29 20:07:32,300026,whiplash+2014,4
2023-11-29 20:07:32,756639,gattaca+1997,4
2023-11-29 20:07:32,637636,a+slave+of+love+1976,3
2023-11-29 20:07:32,19081,ponyo+2008,3
2023-11-29 20:07:32,537436,snow+beast+2011,4
2023-11-29 20:07:32,607976,pulp+fiction+1994,5
2023-11-29 20:07:32,145649,akira+1988,4
2023-11-29 20:07:32,587590,flirting+1991,5
2023-11-29 20:07:32,303453,gladiator+2000,4
2023-11-29 20:07:32,323118,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:07:33,332589,pulp+fiction+1994,4
2023-11-29 20:07:33,773119,bronies+the+extremely+unexpected+adult+fans+of+my+little+pony+2012,3
2023-11-29 20:07:33,779851,the+lord+of+the+rings+the+two+towers+2002,3
2023-11-29 20:07:33,131513,scarlet+diva+2000,3
2023-11-29 20:07:33,369798,pulp+fiction+1994,5
2023-11-29 20:07:33,374381,the+rise+and+fall+of+legs+diamond+1960,5
2023-11-29 20:07:34,432457,the+dogs+of+war+1980,4
2023-11-29 20:07:34,462078,jack+the+giant+killer+1962,4
2023-11-29 20:07:34,33539,pusher+ii+with+blood+on+my+hands+2004,4
2023-11-29 20:07:34,67736,kronks+new+groove+2005,3
2023-11-29 20:07:34,671941,payback+1999,3
2023-11-29 20:07:34,364619,blood+feast+1963,3
2023-11-29 20:07:34,672958,the+lord+of+the+rings+the+return+of+the+king+2003,5
2023-11-29 20:07:34,554106,strangers+when+we+meet+1960,2
2023-11-29 20:07:34,589211,shrek+forever+after+2010,4
2023-11-29 20:07:34,731015,seven+samurai+1954,4
2023-11-29 20:07:34,227697,the+lord+of+the+rings+the+return+of+the+king+2003,5
2023-11-29 20:07:35,538155,mater+and+the+ghostlight+2006,4
2023-11-29 20:07:35,230412,camino+2008,3
2023-11-29 20:07:35,584189,pulp+fiction+1994,4
2023-11-29 20:07:35,128418,sleeping+beauty+1959,4
2023-11-29 20:07:35,417296,hellboy+ii+the+golden+army+2008,4
2023-11-29 20:07:35,657331,witchfinder+general+1968,3
2023-11-29 20:07:35,349742,the+skin+i+live+in+2011,4
2023-11-29 20:07:35,702083,birdwatchers+2008,3
2023-11-29 20:07:35,328833,the+lusty+men+1952,4
2023-11-29 20:07:35,283372,harry+potter+and+the+deathly+hallows+part+2+2011,4
2023-11-29 20:07:36,161660,all+the+presidents+men+1976,5
2023-11-29 20:07:36,441875,pulp+fiction+1994,4
2023-11-29 20:07:36,531498,penguins+of+madagascar+2014,2
2023-11-29 20:07:36,740363,shockproof+1949,4
2023-11-29 20:07:36,272437,the+house+on+sorority+row+1983,4
2023-11-29 20:07:36,380432,oz+the+great+and+powerful+2013,1
2023-11-29 20:07:36,217781,zack+and+miri+make+a+porno+2008,3
2023-11-29 20:07:36,276778,used+cars+1980,3
2023-11-29 20:07:37,228952,persona+non+grata+2005,3
2023-11-29 20:07:37,225746,the+hunger+games+mockingjay+-+part+1+2014,3
2023-11-29 20:07:37,637677,reservoir+dogs+1992,5
2023-11-29 20:07:37,410253,the+lord+of+the+rings+the+two+towers+2002,5
2023-11-29 20:07:37,20597,1001+nights+1990,3
2023-11-29 20:07:37,185533,exam+2009,4
2023-11-29 20:07:37,576981,brave+2012,3
2023-11-29 20:07:37,793339,one+flew+over+the+cuckoos+nest+1975,5
2023-11-29 20:07:37,474628,the+lord+of+the+rings+the+return+of+the+king+2003,5
2023-11-29 20:07:37,490870,nineteen+eighty-four+1984,3
2023-11-29 20:07:38,451507,tom+segura+completely+normal+2014,4
2023-11-29 20:07:38,113506,walle+2008,3
2023-11-29 20:07:38,359425,ali+baba+goes+to+town+1937,3
2023-11-29 20:07:38,70159,my+neighbor+totoro+1988,4
2023-11-29 20:07:38,494470,sal_+or+the+120+days+of+sodom+1975,2
2023-11-29 20:07:39,491163,fools+parade+1971,3
2023-11-29 20:07:39,219159,journey+to+the+west+conquering+the+demons+2013,2
2023-11-29 20:07:39,336667,rough+riders+1997,4
2023-11-29 20:07:39,29079,a+case+of+you+2013,5
2023-11-29 20:07:39,686854,tom+jones+1963,3
2023-11-29 20:07:39,761518,casino+jack+2010,3
2023-11-29 20:07:40,424596,the+private+life+of+sherlock+holmes+1970,3
2023-11-29 20:07:40,783134,sleeping+beauty+1959,3
2023-11-29 20:07:40,462213,block-heads+1938,3
2023-11-29 20:07:40,280714,the+rum+diary+2011,3
2023-11-29 20:07:40,509706,police+academy+2+their+first+assignment+1985,3
2023-11-29 20:07:40,43109,desperate+journey+1942,3
2023-11-29 20:07:40,263021,carnage+2011,5
2023-11-29 20:07:41,494812,the+lord+of+the+rings+the+two+towers+2002,5
2023-11-29 20:07:41,79381,pulp+fiction+1994,3
2023-11-29 20:07:41,680779,the+last+command+1928,3
2023-11-29 20:07:41,575827,last+of+the+renegades+1964,3
2023-11-29 20:07:42,217703,the+unknown+1927,3
2023-11-29 20:07:42,43741,how+to+train+your+dragon+2010,5
2023-11-29 20:07:42,294927,the+man+from+laramie+1955,3
2023-11-29 20:07:42,418953,the+sun+also+rises+1957,4
2023-11-29 20:07:42,55125,mandela+long+walk+to+freedom+2013,4
2023-11-29 20:07:42,704378,the+scarecrow+1920,4
2023-11-29 20:07:43,620868,winchester+73+1950,3
2023-11-29 20:07:43,195364,whiplash+2014,4
2023-11-29 20:07:43,449754,the+secret+policemans+other+ball+1982,4
2023-11-29 20:07:43,394542,peter+pan+1953,3
2023-11-29 20:07:43,555749,pulp+fiction+1994,5
2023-11-29 20:07:43,310811,the+incident+1990,2
2023-11-29 20:07:44,504922,red+heat+1988,4
2023-11-29 20:07:44,275606,fist+of+fury+1972,4
2023-11-29 20:07:44,781936,appleseed+alpha+2014,3
2023-11-29 20:07:44,567838,alvin+and+the+chipmunks+the+squeakquel+2009,2
2023-11-29 20:07:44,578671,the+boy+in+the+striped+pyjamas+2008,4
2023-11-29 20:07:44,6111,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:07:44,802653,the+lord+of+the+rings+the+two+towers+2002,5
2023-11-29 20:07:45,636596,stay+as+you+are+1978,3
2023-11-29 20:07:45,19687,pirates+of+the+caribbean+at+worlds+end+2007,4
2023-11-29 20:07:45,629034,whiplash+2014,5
2023-11-29 20:07:45,522228,ben-hur+a+tale+of+the+christ+1925,2
2023-11-29 20:07:46,185183,the+lord+of+the+rings+the+two+towers+2002,4
2023-11-29 20:07:46,228905,pulp+fiction+1994,4
2023-11-29 20:07:46,575139,star+wars+1977,4
2023-11-29 20:07:46,304182,signs+2002,3
2023-11-29 20:07:46,16938,the+legend+of+drunken+master+1994,5
2023-11-29 20:07:47,576876,one+flew+over+the+cuckoos+nest+1975,4
2023-11-29 20:07:47,328217,one+flew+over+the+cuckoos+nest+1975,4
2023-11-29 20:07:47,177839,the+lord+of+the+rings+the+return+of+the+king+2003,4
2023-11-29 20:07:47,241377,the+lord+of+the+rings+the+two+towers+2002,5
2023-11-29 20:07:47,190089,in+cold+blood+1996,4
2023-11-29 20:07:47,644048,two+way+stretch+1960,3
2023-11-29 20:07:47,671332,a+prairie+home+companion+2006,3
2023-11-29 20:07:47,585728,interstellar+2014,4
2023-11-29 20:07:48,394817,the+possession+of+joel+delaney+1972,3
2023-11-29 20:07:49,215899,beyond+tomorrow+1940,3
2023-11-29 20:07:49,64033,terminator+salvation+2009,4
2023-11-29 20:07:49,523527,shelter+2010,3
2023-11-29 20:07:49,512241,the+clock+1945,3
