timestamp,userid,movieid,minute_watched
1698607385186737740,2023-10-29T15:23:05,242893,terminator+3+rise+of+the+machines+2003,62
1698607385185169855,2023-10-29T15:23:05,38151,my+neighbor+totoro+1988,70
1698607385183759870,2023-10-29T15:23:05,383273,the+lord+of+the+rings+the+two+towers+2002,177
1698607385182108871,2023-10-29T15:23:05,152119,one+flew+over+the+cuckoos+nest+1975,106
1698607385182103037,2023-10-29T15:23:05,226542,cinderella+2015,86
1698607385182096598,2023-10-29T15:23:05,182387,despicable+me+2+2013,34
1698607385182002627,2023-10-29T15:23:05,342845,the+lord+of+the+rings+the+return+of+the+king+2003,198
1698607385181997669,2023-10-29T15:23:05,520821,coraline+2009,20
1698607385181993822,2023-10-29T15:23:05,443125,the+lord+of+the+rings+the+return+of+the+king+2003,41
1698607385180823047,2023-10-29T15:23:05,105299,the+ugly+truth+2009,21
1698607385180819810,2023-10-29T15:23:05,532728,pulp+fiction+1994,40
1698607385180816812,2023-10-29T15:23:05,196906,the+lord+of+the+rings+the+two+towers+2002,29
1698607385179918981,2023-10-29T15:23:05,26960,the+lord+of+the+rings+the+two+towers+2002,159
1698607385179911109,2023-10-29T15:23:05,367115,the+lord+of+the+rings+the+two+towers+2002,29
1698607385179902357,2023-10-29T15:23:05,293055,the+black+cauldron+1985,72
1698607385179898548,2023-10-29T15:23:05,435189,pulp+fiction+1994,128
1698607385179895489,2023-10-29T15:23:05,131126,pulp+fiction+1994,28
1698607385179889204,2023-10-29T15:23:05,298445,the+lord+of+the+rings+the+two+towers+2002,47
1698607385179797070,2023-10-29T15:23:05,486590,the+lord+of+the+rings+the+two+towers+2002,108
1698607385179789267,2023-10-29T15:23:05,30531,pulp+fiction+1994,14
1698607385179780812,2023-10-29T15:23:05,13187,true+lies+1994,122
1698607385177626576,2023-10-29T15:23:05,31620,whiplash+2014,57
1698607385177623388,2023-10-29T15:23:05,59477,elles+2011,24
1698607385177531755,2023-10-29T15:23:05,232496,pulp+fiction+1994,43
1698607385177527507,2023-10-29T15:23:05,139736,pulp+fiction+1994,68
1698607385176091845,2023-10-29T15:23:05,213563,the+lord+of+the+rings+the+return+of+the+king+2003,51
1698607385176086847,2023-10-29T15:23:05,186337,the+lord+of+the+rings+the+two+towers+2002,37
1698607385176001574,2023-10-29T15:23:05,78907,whiplash+2014,92
1698607385175996693,2023-10-29T15:23:05,542916,whiplash+2014,72
1698607385175316849,2023-10-29T15:23:05,448608,the+lord+of+the+rings+the+two+towers+2002,8
1698607385175312342,2023-10-29T15:23:05,358239,se7en+1995,70
1698607385175307786,2023-10-29T15:23:05,246711,the+lord+of+the+rings+the+two+towers+2002,171
1698607385175173853,2023-10-29T15:23:05,199010,saving+private+ryan+1998,118
1698607385175168164,2023-10-29T15:23:05,454316,interstellar+2014,114
1698607385172744915,2023-10-29T15:23:05,71159,pulp+fiction+1994,145
1698607385172735083,2023-10-29T15:23:05,204971,the+green+mile+1999,122
1698607385172728333,2023-10-29T15:23:05,185794,peter+pan+1953,10
1698607385172600049,2023-10-29T15:23:05,150896,one+flew+over+the+cuckoos+nest+1975,126
1698607385172594356,2023-10-29T15:23:05,350089,the+lord+of+the+rings+the+return+of+the+king+2003,80
1698607385172588039,2023-10-29T15:23:05,121923,one+flew+over+the+cuckoos+nest+1975,63
1698607385170072155,2023-10-29T15:23:05,413020,dead+poets+society+1989,5
1698607385169954908,2023-10-29T15:23:05,204687,terrorvision+1986,31
1698607385169945448,2023-10-29T15:23:05,50568,pulp+fiction+1994,80
1698607385169933839,2023-10-29T15:23:05,177610,the+lord+of+the+rings+the+two+towers+2002,5
1698607385168928323,2023-10-29T15:23:05,415360,the+lives+of+others+2006,26
1698607385166810350,2023-10-29T15:23:05,381052,aliens+1986,0
1698607385166750823,2023-10-29T15:23:05,540461,the+lord+of+the+rings+the+return+of+the+king+2003,0
1698607385166733903,2023-10-29T15:23:05,66581,the+lord+of+the+rings+the+return+of+the+king+2003,2
1698607385166715762,2023-10-29T15:23:05,468849,the+lord+of+the+rings+the+two+towers+2002,0
1698607385166702998,2023-10-29T15:23:05,533012,the+dark+knight+2008,0
1698607385166680346,2023-10-29T15:23:05,455013,the+lord+of+the+rings+the+return+of+the+king+2003,0
1698607385166671174,2023-10-29T15:23:05,406298,whiplash+2014,32
1698607385166664582,2023-10-29T15:23:05,264648,one+flew+over+the+cuckoos+nest+1975,34
1698607385166655351,2023-10-29T15:23:05,111968,the+lord+of+the+rings+the+return+of+the+king+2003,0
1698607385166510067,2023-10-29T15:23:05,388133,seven+samurai+1954,0
1698607385166499464,2023-10-29T15:23:05,217715,the+young+victoria+2009,106
1698607385166490634,2023-10-29T15:23:05,120772,35+shots+of+rum+2009,6
1698607385164000735,2023-10-29T15:23:05,19043,pulp+fiction+1994,8
1698607385163995950,2023-10-29T15:23:05,299777,pulp+fiction+1994,31
1698607385163992103,2023-10-29T15:23:05,300433,the+lord+of+the+rings+the+return+of+the+king+2003,1
1698607385163877126,2023-10-29T15:23:05,371997,seraphim+falls+2006,11
1698607385163871444,2023-10-29T15:23:05,473431,the+divide+2011,3
1698607385163865610,2023-10-29T15:23:05,231920,imagine+john+lennon+1988,3
1698607385160280905,2023-10-29T15:23:05,365575,interstellar+2014,108
1698607385158590088,2023-10-29T15:23:05,370711,the+lord+of+the+rings+the+two+towers+2002,58
1698607385158585446,2023-10-29T15:23:05,468027,harry+potter+and+the+goblet+of+fire+2005,69
1698607385158578363,2023-10-29T15:23:05,162463,the+lord+of+the+rings+the+return+of+the+king+2003,11
1698607385158471623,2023-10-29T15:23:05,347910,the+lord+of+the+rings+the+two+towers+2002,133
1698607385158463279,2023-10-29T15:23:05,454958,we+need+to+talk+about+kevin+2011,2
1698607385155903469,2023-10-29T15:23:05,433654,city+of+pirates+1984,44
1698607385155899060,2023-10-29T15:23:05,78626,one+flew+over+the+cuckoos+nest+1975,42
1698607385155895861,2023-10-29T15:23:05,134434,the+lord+of+the+rings+the+return+of+the+king+2003,12
1698607385155787900,2023-10-29T15:23:05,545854,pulp+fiction+1994,146
1698607385155783391,2023-10-29T15:23:05,423479,the+lion+king+1994,9
1698607385155779272,2023-10-29T15:23:05,125830,the+lord+of+the+rings+the+two+towers+2002,7
1698607385150914076,2023-10-29T15:23:05,395928,seven+samurai+1954,208
1698607385150909911,2023-10-29T15:23:05,275341,one+flew+over+the+cuckoos+nest+1975,60
1698607385150783215,2023-10-29T15:23:05,174689,payback+1999,8
1698607385150778060,2023-10-29T15:23:05,265143,from+russia+with+love+1963,15
1698607385147602689,2023-10-29T15:23:05,446303,the+lord+of+the+rings+the+two+towers+2002,32
1698607385147595476,2023-10-29T15:23:05,396042,the+theatre+bizarre+2011,58
1698607385147585620,2023-10-29T15:23:05,95223,shrek+forever+after+2010,86
1698607385147581851,2023-10-29T15:23:05,429406,the+lord+of+the+rings+the+two+towers+2002,164
1698607385147579038,2023-10-29T15:23:05,562928,the+lord+of+the+rings+the+return+of+the+king+2003,23
1698607385147573666,2023-10-29T15:23:05,109100,the+lord+of+the+rings+the+two+towers+2002,30
1698607385147484415,2023-10-29T15:23:05,54133,one+flew+over+the+cuckoos+nest+1975,84
1698607385147480087,2023-10-29T15:23:05,458104,tibet+cry+of+the+snow+lion+2002,77
1698607385147476059,2023-10-29T15:23:05,429650,the+lord+of+the+rings+the+two+towers+2002,125
1698607385145893320,2023-10-29T15:23:05,79767,the+lord+of+the+rings+the+two+towers+2002,121
1698607385145889564,2023-10-29T15:23:05,29147,pulp+fiction+1994,54
1698607385145754731,2023-10-29T15:23:05,145550,polisse+2011,16
1698607385142924537,2023-10-29T15:23:05,352230,my+neighbor+totoro+1988,41
1698607385142450577,2023-10-29T15:23:05,507417,the+lord+of+the+rings+the+two+towers+2002,145
1698607385142096243,2023-10-29T15:23:05,303548,whiplash+2014,24
1698607385142091424,2023-10-29T15:23:05,512738,one+flew+over+the+cuckoos+nest+1975,31
1698607385142086837,2023-10-29T15:23:05,265929,the+lord+of+the+rings+the+two+towers+2002,55
1698607385142037313,2023-10-29T15:23:05,268742,the+dark+knight+2008,53
1698607385142033190,2023-10-29T15:23:05,493981,hellfighters+1968,104
1698607385141354579,2023-10-29T15:23:05,483283,the+lord+of+the+rings+the+return+of+the+king+2003,39
1698607385141344581,2023-10-29T15:23:05,439305,pulp+fiction+1994,126
1698607385141334551,2023-10-29T15:23:05,67729,the+lord+of+the+rings+the+two+towers+2002,46
1698607385141329159,2023-10-29T15:23:05,87133,the+lord+of+the+rings+the+two+towers+2002,138
1698607385141323796,2023-10-29T15:23:05,445842,pulp+fiction+1994,43
1698607385141278868,2023-10-29T15:23:05,58836,the+lord+of+the+rings+the+two+towers+2002,13
1698607385141268885,2023-10-29T15:23:05,291400,whiplash+2014,28
1698607385141175307,2023-10-29T15:23:05,282584,operation+petticoat+1959,7
1698607385141170798,2023-10-29T15:23:05,153443,scanners+ii+the+new+order+1991,16
1698607385141166284,2023-10-29T15:23:05,150853,crime+story+1993,21
1698607385138378178,2023-10-29T15:23:05,563713,the+mask+1994,43
1698607385138373309,2023-10-29T15:23:05,64793,barneys+version+2010,41
1698607385138084171,2023-10-29T15:23:05,155159,a+touch+of+spice+2003,58
1698607385135108493,2023-10-29T15:23:05,400715,star+wars+1977,53
1698607385133605795,2023-10-29T15:23:05,451694,the+lord+of+the+rings+the+two+towers+2002,102
1698607385133599479,2023-10-29T15:23:05,232737,interstellar+2014,94
1698607385133359263,2023-10-29T15:23:05,266981,the+lord+of+the+rings+the+two+towers+2002,48
1698607385133352281,2023-10-29T15:23:05,301018,men+in+black+1997,29
1698607385131832172,2023-10-29T15:23:05,502182,the+lord+of+the+rings+the+two+towers+2002,111
1698607385131818860,2023-10-29T15:23:05,405589,whiplash+2014,75
1698607385131815094,2023-10-29T15:23:05,84478,the+lord+of+the+rings+the+two+towers+2002,96
1698607385131718015,2023-10-29T15:23:05,56057,django+unchained+2012,65
1698607385131713060,2023-10-29T15:23:05,254852,the+lord+of+the+rings+the+two+towers+2002,56
1698607385131708482,2023-10-29T15:23:05,147940,pulp+fiction+1994,84
1698607385130608650,2023-10-29T15:23:05,523361,the+lord+of+the+rings+the+return+of+the+king+2003,35
1698607385130401882,2023-10-29T15:23:05,85348,the+assault+1986,56
1698607385130393170,2023-10-29T15:23:05,469715,whiplash+2014,53
1698607385127280412,2023-10-29T15:23:05,265232,whiplash+2014,64
1698607385125286835,2023-10-29T15:23:05,522964,pulp+fiction+1994,79
1698607385125149383,2023-10-29T15:23:05,562988,terminator+2+judgment+day+1991,56
1698607385125143959,2023-10-29T15:23:05,62529,pulp+fiction+1994,86
1698607385125138336,2023-10-29T15:23:05,99105,ajami+2009,15
1698607385122629075,2023-10-29T15:23:05,246843,blind+faith+1998,41
1698607385122593562,2023-10-29T15:23:05,297523,lethal+weapon+4+1998,21
1698607385122569971,2023-10-29T15:23:05,92391,one+flew+over+the+cuckoos+nest+1975,29
1698607385122558098,2023-10-29T15:23:05,277883,the+eye+2002,18
1698607385122543304,2023-10-29T15:23:05,80046,sinners+and+saints+2010,104
1698607385122538735,2023-10-29T15:23:05,33572,the+lord+of+the+rings+the+two+towers+2002,72
1698607385122535800,2023-10-29T15:23:05,63801,cinderella+2015,70
1698607385122532487,2023-10-29T15:23:05,487861,harry+potter+and+the+deathly+hallows+part+2+2011,103
1698607385122413485,2023-10-29T15:23:05,541289,whiplash+2014,87
1698607385122405106,2023-10-29T15:23:05,394607,interstellar+2014,85
1698607385122400683,2023-10-29T15:23:05,417269,the+lord+of+the+rings+the+return+of+the+king+2003,66
1698607385120646941,2023-10-29T15:23:05,539470,never+say+never+again+1983,24
1698607385120622386,2023-10-29T15:23:05,513489,the+executor+1981,16
1698607385120612279,2023-10-29T15:23:05,362456,the+lord+of+the+rings+the+return+of+the+king+2003,115
1698607385120607060,2023-10-29T15:23:05,67272,whiplash+2014,16
1698607385120435063,2023-10-29T15:23:05,508075,pulp+fiction+1994,145
1698607385120428472,2023-10-29T15:23:05,426825,the+lord+of+the+rings+the+return+of+the+king+2003,146
1698607385120419232,2023-10-29T15:23:05,487053,the+lord+of+the+rings+the+two+towers+2002,178
1698607385116164415,2023-10-29T15:23:05,339362,twister+1996,49
1698607385116157468,2023-10-29T15:23:05,416065,the+lord+of+the+rings+the+return+of+the+king+2003,37
1698607385115849778,2023-10-29T15:23:05,210686,the+lord+of+the+rings+the+two+towers+2002,7
1698607385113682000,2023-10-29T15:23:05,256522,one+flew+over+the+cuckoos+nest+1975,74
1698607385113676741,2023-10-29T15:23:05,383606,the+lord+of+the+rings+the+two+towers+2002,176
1698607385113556736,2023-10-29T15:23:05,147474,sushi+girl+2012,66
1698607385113550587,2023-10-29T15:23:05,43375,one+flew+over+the+cuckoos+nest+1975,73
1698607385110701339,2023-10-29T15:23:05,547295,the+lord+of+the+rings+the+return+of+the+king+2003,118
1698607385110697753,2023-10-29T15:23:05,239301,whiplash+2014,24
1698607385110530120,2023-10-29T15:23:05,372929,se7en+1995,59
1698607385110521071,2023-10-29T15:23:05,274327,the+lord+of+the+rings+the+return+of+the+king+2003,79
1698607385110515771,2023-10-29T15:23:05,333612,kiss+the+girls+1997,52
1698607385107816798,2023-10-29T15:23:05,422869,the+lord+of+the+rings+the+two+towers+2002,77
1698607385107800598,2023-10-29T15:23:05,304718,the+lord+of+the+rings+the+two+towers+2002,119
1698607385107796239,2023-10-29T15:23:05,32644,one+flew+over+the+cuckoos+nest+1975,75
1698607385107793206,2023-10-29T15:23:05,163371,the+lord+of+the+rings+the+two+towers+2002,70
1698607385107663599,2023-10-29T15:23:05,344477,pulp+fiction+1994,138
1698607385107646918,2023-10-29T15:23:05,221760,the+lord+of+the+rings+the+return+of+the+king+2003,63
1698607385107642347,2023-10-29T15:23:05,435660,american+son+2008,56
1698607385106077852,2023-10-29T15:23:05,6787,seven+samurai+1954,56
1698607385106073736,2023-10-29T15:23:05,310392,saving+private+ryan+1998,61
1698607385106068955,2023-10-29T15:23:05,413330,one+flew+over+the+cuckoos+nest+1975,70
1698607385106064899,2023-10-29T15:23:05,558934,the+lord+of+the+rings+the+two+towers+2002,53
1698607385105963735,2023-10-29T15:23:05,249831,the+lord+of+the+rings+the+two+towers+2002,19
1698607385105957856,2023-10-29T15:23:05,110940,the+lord+of+the+rings+the+two+towers+2002,37
1698607385105953021,2023-10-29T15:23:05,533004,hummingbird+2013,73
1698607385103117826,2023-10-29T15:23:05,263223,stay+as+you+are+1978,89
1698607385103100661,2023-10-29T15:23:05,580634,the+lord+of+the+rings+the+return+of+the+king+2003,130
1698607385103095778,2023-10-29T15:23:05,100782,pulp+fiction+1994,84
1698607385103091691,2023-10-29T15:23:05,124772,beetlejuice+1988,60
1698607385102960897,2023-10-29T15:23:05,513708,one+flew+over+the+cuckoos+nest+1975,104
1698607385102953979,2023-10-29T15:23:05,378150,the+lord+of+the+rings+the+two+towers+2002,102
1698607385102947517,2023-10-29T15:23:05,322078,fantastic+voyage+1966,48
1698607385100030581,2023-10-29T15:23:05,73394,the+dark+knight+rises+2012,129
1698607385100026085,2023-10-29T15:23:05,112631,the+hangover+2009,54
1698607385099798712,2023-10-29T15:23:05,129419,iron+man+2008,74
1698607385099792415,2023-10-29T15:23:05,421053,the+lord+of+the+rings+the+return+of+the+king+2003,58
1698607385096343898,2023-10-29T15:23:05,273046,pulp+fiction+1994,15
1698607385096338304,2023-10-29T15:23:05,233354,seven+samurai+1954,41
1698607385096203633,2023-10-29T15:23:05,555354,pulp+fiction+1994,42
1698607385096195951,2023-10-29T15:23:05,478660,pulp+fiction+1994,106
1698607385093163492,2023-10-29T15:23:05,212081,the+dark+knight+2008,51
1698607385093159951,2023-10-29T15:23:05,39641,pulp+fiction+1994,12
1698607385093083335,2023-10-29T15:23:05,53733,the+lord+of+the+rings+the+two+towers+2002,38
1698607385091843358,2023-10-29T15:23:05,147332,jennifers+body+2009,75
1698607385091840078,2023-10-29T15:23:05,369077,extraordinary+stories+2008,51
1698607385091834412,2023-10-29T15:23:05,58481,the+lord+of+the+rings+the+two+towers+2002,110
1698607385091664567,2023-10-29T15:23:05,466193,the+lord+of+the+rings+the+return+of+the+king+2003,161
1698607385091660737,2023-10-29T15:23:05,92361,the+lord+of+the+rings+the+return+of+the+king+2003,81
1698607385090600514,2023-10-29T15:23:05,63501,the+lord+of+the+rings+the+return+of+the+king+2003,48
1698607385090557227,2023-10-29T15:23:05,130386,the+lord+of+the+rings+the+return+of+the+king+2003,67
1698607385090508930,2023-10-29T15:23:05,253228,underground+1995,146
1698607385090500627,2023-10-29T15:23:05,89543,the+lord+of+the+rings+the+two+towers+2002,2
1698607385090445261,2023-10-29T15:23:05,7657,one+flew+over+the+cuckoos+nest+1975,126
1698607385090439150,2023-10-29T15:23:05,209456,gandhi+1982,111
1698607385090431550,2023-10-29T15:23:05,187372,the+food+of+the+gods+1976,12
1698607385090426055,2023-10-29T15:23:05,570447,whiplash+2014,93
1698607385090415208,2023-10-29T15:23:05,518770,interstellar+2014,118
1698607385090410637,2023-10-29T15:23:05,255545,pulp+fiction+1994,133
1698607385090407748,2023-10-29T15:23:05,399240,odd+thomas+2013,22
1698607385090403753,2023-10-29T15:23:05,96535,the+lord+of+the+rings+the+two+towers+2002,99
1698607385090289030,2023-10-29T15:23:05,445450,the+lord+of+the+rings+the+two+towers+2002,50
1698607385090279913,2023-10-29T15:23:05,347734,the+lord+of+the+rings+the+two+towers+2002,32
1698607385090276043,2023-10-29T15:23:05,265058,sarahs+key+2010,47
1698607385087765145,2023-10-29T15:23:05,419400,the+lord+of+the+rings+the+return+of+the+king+2003,110
1698607385087756539,2023-10-29T15:23:05,112127,the+lord+of+the+rings+the+two+towers+2002,79
1698607385087744663,2023-10-29T15:23:05,271003,the+lord+of+the+rings+the+two+towers+2002,149
1698607385087636430,2023-10-29T15:23:05,193671,the+secret+world+of+arrietty+2010,53
1698607385087630914,2023-10-29T15:23:05,356974,numb+2007,80
1698607385087624495,2023-10-29T15:23:05,337306,pulp+fiction+1994,46
1698607385085970702,2023-10-29T15:23:05,554637,whiplash+2014,29
1698607385085961299,2023-10-29T15:23:05,444409,pulp+fiction+1994,135
1698607385085954809,2023-10-29T15:23:05,572766,samurai+iii+duel+at+ganryu+island+1956,37
1698607385085949226,2023-10-29T15:23:05,258572,pulp+fiction+1994,21
1698607385085943481,2023-10-29T15:23:05,130743,one+flew+over+the+cuckoos+nest+1975,18
1698607385085904588,2023-10-29T15:23:05,546334,the+lord+of+the+rings+the+return+of+the+king+2003,123
1698607385085898198,2023-10-29T15:23:05,552719,pusher+1996,6
1698607385085864874,2023-10-29T15:23:05,490757,frequency+2000,22
1698607385085861847,2023-10-29T15:23:05,345509,the+lord+of+the+rings+the+return+of+the+king+2003,133
