userid,movieid,minute
216257,never+say+never+again+1983,79
129622,the+red+baron+2008,68
188424,saving+private+ryan+1998,142
164947,pirates+of+the+caribbean+at+worlds+end+2007,7
153942,the+dark+knight+2008,148
176295,jamie+and+jessie+are+not+together+2011,31
128582,the+adventures+of+picasso+1978,70
38432,goldfish+memory+2003,53
45512,lets+be+cops+2014,85
71709,the+dark+knight+rises+2012,160
70041,pulp+fiction+1994,139
219211,iron+man+3+2013,94
348936,the+curse+of+the+jade+scorpion+2001,95
98387,harry+potter+and+the+goblet+of+fire+2005,136
98430,the+loves+of+pharaoh+1922,7
232503,pirates+of+the+caribbean+at+worlds+end+2007,118
68403,boogie+nights+1997,146
273260,leon+the+professional+1994,65
78963,whiplash+2014,24
290349,harry+potter+and+the+philosophers+stone+2001,132
168672,light+the+fuse...+sartana+is+coming+1970,81
145413,psycho+beach+party+2000,62
224017,dragon+ball+z+broly+-+the+legendary+super+saiyan+1993,53
331789,jesus+christ+vampire+hunter+2001,51
314326,grand+illusion+1937,15
98746,the+debt+2010,96
198660,hansel++gretel+2002,39
205454,decampitated+1998,62
241784,what+about+dick+2012,81
154352,beyond+the+hills+2012,36
289987,reservoir+dogs+1992,24
117352,sympathy+for+mr.+vengeance+2002,111
218474,interstellar+2014,50
282112,knife+in+the+water+1962,23
124251,die+nibelungen+siegfried+1924,116
54068,the+hobbit+an+unexpected+journey+2012,99
229218,armour+of+god+ii+operation+condor+1991,31
338636,the+maze+runner+2014,7
37312,the+amazing+spider-man+2012,26
111048,princess+mononoke+1997,10
242047,indiana+jones+and+the+temple+of+doom+1984,19
19815,the+dark+knight+2008,116
319369,frenzy+1972,99
13148,inventing+the+abbotts+1997,97
283040,what+have+you+done+to+solange+1972,15
269254,the+lord+of+the+rings+the+return+of+the+king+2003,76
227211,serena+2014,38
202692,before+sunrise+1995,67
345269,manon+1949,77
174883,wargames+1983,73
213257,colors+1988,3
268098,harry+potter+and+the+prisoner+of+azkaban+2004,81
299764,close+encounters+of+the+third+kind+1977,51
58127,deadheads+2011,44
2439,star+wars+1977,84
134138,addams+family+reunion+1998,3
50908,henri+georges+clouzots+inferno+2009,47
120751,blade+ii+2002,17
140150,whos+singin+over+there+1980,4
34169,shall+we+dance+1996,35
213264,one+flew+over+the+cuckoos+nest+1975,103
64724,sundown+1941,36
183626,alice+in+wonderland+1951,11
43858,brave+2012,12
117692,enron+the+smartest+guys+in+the+room+2005,60
238002,revenge+1990,24
206041,constantine+2005,35
102900,willy+wonka++the+chocolate+factory+1971,21
312321,the+long+kiss+goodnight+1996,63
203955,the+out+of+towners+1970,3
49468,a+personal+journey+with+martin+scorsese+through+american+movies+1995,224
158075,the+da+vinci+code+2006,16
124057,dawn+of+the+dead+1978,69
161787,no+reservations+2007,9
315620,murder+most+foul+1964,68
138498,the+shawshank+redemption+1994,96
305192,kirikou+and+the+sorceress+1998,60
214385,the+lord+of+the+rings+the+return+of+the+king+2003,29
20274,the+vanishing+american+1925,40
103548,big+hero+6+2014,6
171342,redirected+2014,54
2909,punks+dead+slc+punk+2+2016,54
248166,the+amazing+spider-man+2+2014,123
107160,shutter+island+2010,104
10696,the+goonies+1985,48
180012,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,24
213008,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,28
109606,sorrow+and+joy+2013,10
148468,the+jungle+book+1967,15
109703,lady+chatterleys+lover+1981,22
67453,the+kindred+1987,40
120289,the+pyx+1973,37
262977,crimson+rivers+ii+angels+of+the+apocalypse+2004,81
21074,the+black+cauldron+1985,14
175497,my+brother+is+an+only+child+2007,11
259339,raiders+of+the+lost+ark+1981,12
339370,handsome+harry+2009,19
229200,wilder+napalm+1993,7
94169,planet+51+2009,6
319426,peter+pan+1953,7
351899,four+lions+2010,12
335419,castle+in+the+sky+1986,22
78445,the+white+massai+2005,0
235967,goodfellas+1990,0
107075,weird+woman+1944,0
103860,the+hobbit+the+battle+of+the+five+armies+2014,97
334552,sailor+of+the+king+1953,0
253081,bruce+almighty+2003,0
165531,pulp+fiction+1994,0
330421,harry+potter+and+the+chamber+of+secrets+2002,45
304966,the+lion+king+1994,5
27092,out+to+sea+1997,1
218912,for+me+and+my+gal+1942,15
224192,drugstore+cowboy+1989,33
228341,to+be+or+not+to+be+1942,81
233521,deep+blue+sea+1999,88
233130,empire+falls+2005,185
111752,the+lion+in+winter+1968,109
299876,finding+nemo+2003,62
36325,tigrero+a+film+that+was+never+made+1994,4
16872,the+war+2007,112
285555,the+baytown+outlaws+2012,3
279427,judy+moody+and+the+not+bummer+summer+2011,44
178640,inception+2010,18
85911,the+good_+the+bad+and+the+ugly+1966,26
97646,pitch+black+2000,97
163259,breaking+away+1979,66
280480,the+amazing+spider-man+2012,2
200956,blade+runner+1982,6
345218,the+curiosity+of+chance+2006,30
218203,the+time+machine+1960,15
267937,interstellar+2014,161
32328,mr.+nobody+2009,16
352186,girls+just+want+to+have+fun+1985,30
243695,iron+man+2008,81
324732,akira+1988,30
81677,outside+the+law+2002,81
292694,begin+again+2013,86
206512,toy+story+1995,82
137534,the+phantom+lover+1995,97
98125,princess+mononoke+1997,111
207063,dark+days+2000,47
287453,titanic+town+1998,65
222908,war+and+peace+1966,320
239816,about+time+2013,4
152840,white+men+cant+jump+1992,2
12756,dirty+dancing+1987,82
317825,carnival+in+flanders+1935,56
86800,skidoo+1968,93
62253,se7en+1995,1
304188,star+wars+1977,73
243285,dave+1993,19
243038,north+west+mounted+police+1940,12
152007,the+hangover+2009,79
137691,balkan+spy+1984,14
102753,the+dirty+dozen+the+deadly+mission+1987,74
144188,from+russia+with+love+1963,75
22530,shrek+2+2004,83
268105,common+wealth+2000,53
345390,wreck-it+ralph+2012,31
225314,pee-wees+big+adventure+1985,60
302895,whisper+of+the+heart+1995,59
219083,the+shawshank+redemption+1994,116
98049,law+abiding+citizen+2009,48
2120,mike+tyson+undisputed+truth+2013,77
84635,song+of+the+thin+man+1947,70
39460,se7en+1995,38
338007,ironclad+2011,108
60901,treasure+island+1990,90
146197,conviction+2010,30
66288,avatar+2009,107
298470,ragtime+1981,121
79397,monster+2008,33
204019,if+only+2004,39
138428,akira+1988,102
22229,harry+potter+and+the+goblet+of+fire+2005,62
287893,iron+man+2008,43
171297,the+mother+and+the+whore+1973,89
131489,white+christmas+1954,16
149408,the+secret+life+of+walter+mitty+2013,26
70391,bringing+up+bobby+2011,4
179996,cloak++dagger+1984,65
258555,halloweentown+high+2004,80
173830,batman+vs+dracula+2005,10
55273,otaku+1994,75
66358,gone+girl+2014,14
43784,fallen+1998,91
202547,october+sky+1999,55
223014,atonement+2007,89
304376,back+to+the+future+1985,57
213335,yi+yi+2000,122
188580,high+art+1998,80
88716,brooklyn+bridge+1982,44
321397,princess+mononoke+1997,134
277903,fresh+1994,77
312424,rainy+dog+1997,11
309298,the+amazing+spider-man+2012,33
237114,the+great+debaters+2007,113
297547,tyson+2008,43
105392,toy+story+1995,63
284406,seeking+a+friend+for+the+end+of+the+world+2012,87
130429,one+hundred+men+and+a+girl+1937,77
114706,monsters_+inc.+2001,63
33169,the+three+musketeers+1973,50
197711,spider-man+2002,45
139076,the+10th+kingdom+2000,403
136111,her+2013,55
324643,sympathy+for+lady+vengeance+2005,48
322823,the+longest+day+1962,33
20094,sal_+or+the+120+days+of+sodom+1975,6
143171,evil+roy+slade+1972,47
240173,shrink+2009,84
130007,child+of+god+2014,9
86740,call+her+savage+1932,86
61691,zack+and+miri+make+a+porno+2008,33
223281,the+gatekeepers+2012,62
188883,paparazzi+2004,3
316496,sir+arnes+treasure+1919,83
317141,pulp+fiction+1994,153
284639,galaxy+express+999+1979,114
153076,interstellar+2014,126
70048,diner+1982,23
95494,instructions+not+included+2013,66
151412,turn+me+on_+dammit+2011,57
31051,rare+exports+a+christmas+tale+2010,2
220956,the+desert+fox+the+story+of+rommel+1951,48
34941,x-men+days+of+future+past+2014,128
289959,dances+with+wolves+1990,112
192272,castle+in+the+sky+1986,35
346971,the+lord+of+the+rings+the+two+towers+2002,155
85210,man+on+a+mission+richard+garriotts+road+to+the+stars+2010,48
186840,el+norte+1983,142
38319,despicable+me+2+2013,35
169942,spider-man+3+2007,55
125386,howls+moving+castle+2004,83
96486,prisoner+701+sasori+2008,28
313631,the+sting+1973,40
167860,mr.+klein+1976,97
204253,dances+with+wolves+1990,66
263535,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,47
96113,the+good+lie+2014,12
52979,the+flight+before+christmas+2008,27
124138,comes+a+bright+day+2012,64
268893,the+five+obstructions+2003,69
236722,the+magical+legend+of+the+leprechauns+1999,113
31037,quantum+of+solace+2008,102
144198,payback+1999,12
277973,71+fragments+of+a+chronology+of+chance+1994,33
125327,a+night+at+the+movies+the+horrors+of+stephen+king+2011,49
341407,men+in+black+1997,5
249522,on+her+majestys+secret+service+1969,139
113541,i+am+trying+to+break+your+heart+2002,84
314989,seventh+son+2014,47
198650,an+angel+at+my+table+1990,150
52059,a+tale+of+two+sisters+2003,44
326257,gladiator+2000,141
254803,beauty+and+the+beast+1991,53
220577,hunger+2009,79
217882,beautiful+thing+1996,31
254196,spirited+away+2001,92
269372,gone+girl+2014,138
89760,focus+2001,5
351409,sexual+predator+2001,34
243910,tracers+2015,41
3633,avatar+2009,105
284013,don+camillo+1952,98
220142,chungking+express+1994,34
346653,beetlejuice+1988,27
349453,forrest+gump+1994,62
20836,blue+spring+2001,34
203695,alices+adventures+in+wonderland+1972,13
338828,star+wars+1977,28
165782,snow+white+and+the+seven+dwarfs+1937,53
159560,atonement+2007,90
161327,the+adventures+of+tintin+2011,56
101992,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,127
86170,twilight+2008,116
121607,u8SHqOxj49,94
279228,le+plaisir+1952,66
166159,kiss+kiss+bang+bang+2005,77
263968,eddie+izzard+dress+to+kill+1999,52
171219,guardians+of+the+galaxy+2014,98
348420,village+of+the+damned+1995,11
114133,happiness+1935,65
211073,the+shawshank+redemption+1994,98
206853,from+here+to+eternity+1953,112
263144,the+straight+story+1999,43
224213,the+wolf+of+wall+street+2013,171
76222,the+burning+bed+1984,41
231402,whisper+of+the+heart+1995,83
339604,the+imitation+game+2014,79
213689,love+in+the+afternoon+1957,87
150327,prince+of+the+city+1981,157
86718,the+business+of+being+born+2008,27
335260,dial+m+for+murder+1954,83
248818,a+matter+of+life+and+death+1946,22
325215,x-men+days+of+future+past+2014,56
244025,hori+smoku+sailor+jerry+2008,38
313043,a+grain+of+truth+2015,8
81837,the+godfather+1972,32
276866,the+dark+knight+rises+2012,8
21807,modern+boy+2008,59
144532,the+lord+of+the+rings+the+two+towers+2002,169
39403,delicatessen+1991,45
98559,the+lord+of+the+rings+the+two+towers+2002,45
222339,that+uncertain+feeling+1941,58
16577,night+across+the+street+2012,46
13060,the+lion+king+1994,75
349328,new+world+2013,76
277144,saving+private+ryan+1998,46
350498,but+im+a+cheerleader+1999,7
172241,che+part+two+2009,67
49353,ratatouille+2007,67
237346,the+big+sleep+1946,54
226385,dating+games+people+play+2008,64
270596,the+green+mile+1999,124
264489,john+adams+2008,22
101323,300+2006,112
49704,beginners+2010,60
12124,harry+potter+and+the+goblet+of+fire+2005,104
295112,howls+moving+castle+2004,101
65,lets+get+lost+1988,50
143693,virus+1999,15
55539,the+lord+of+the+rings+the+return+of+the+king+2003,192
126154,elling+2001,39
333359,charlies+angels+full+throttle+2003,92
92052,the+crazies+1973,31
87299,x-men+days+of+future+past+2014,94
279850,hercules+and+the+lost+kingdom+1994,74
60748,the+story+of+g.i.+joe+1945,46
204295,scarface+1983,161
314617,broken+english+2007,39
349162,atlas+shrugged+part+i+2011,26
88109,the+flamingo+kid+1984,25
242983,what+no+one+knows+2008,48
327878,empire+of+the+wolves+2005,19
240460,a+face+in+the+crowd+1957,35
20145,the+hobbit+the+desolation+of+smaug+2013,62
61898,the+city+of+lost+souls+2000,55
46697,the+wind+that+shakes+the+barley+2006,80
165798,the+human+condition+iii+a+soldiers+prayer+1961,24
351570,the+perils+of+pauline+1914,396
224161,after+the+thin+man+1936,15
133939,the+lord+of+the+rings+the+two+towers+2002,58
141947,bad+education+2004,64
108263,misery+1990,9
29991,fiddler+on+the+roof+1971,7
284320,die+hard+1988,10
8025,daddy+longlegs+2009,95
246948,small+apartments+2012,76
283422,star+wars+1977,18
17085,the+green+mile+1999,11
335467,monster+2003,11
271112,the+hobbit+an+unexpected+journey+2012,141
1917,the+smurfs+2+2013,46
1926,in+this+our+life+1942,4
295140,star+wars+1977,2
334948,aladdin+1992,61
337297,goodbye+world+2013,101
276721,viola+2012,17
186074,GnjPfPIVkAQpiok3JL1t,59
300747,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,167
83046,hamlet+1980,34
170220,night+will+fall+2014,19
267509,one+eight+seven+1997,54
323587,short+cuts+1993,58
115549,animal+house+1978,77
321292,red+garters+1954,28
26380,10+rillington+place+1971,3
117297,another+gay+movie+2006,79
315587,kinjite+forbidden+subjects+1989,67
67892,angels+in+america+2003,323
331549,the+statue+of+liberty+1985,34
204628,leon+the+professional+1994,26
226502,fierce+creatures+1997,60
5989,howls+moving+castle+2004,13
93632,savior+1998,84
249731,the+inbetweeners+2+2014,91
315151,still+of+the+night+1982,49
104973,star+wars+episode+ii+-+attack+of+the+clones+2002,47
301303,riffraff+1936,61
289228,a+short+history+of+decay+2014,48
273100,love_+money_+love+2000,50
152670,das+boot+1981,34
190061,a+tale+of+two+cities+1958,19
327572,x-men+first+class+2011,120
331429,crumb+1994,108
94675,the+woman+chaser+1999,48
220812,first+blood+1982,39
270396,johnny+stecchino+1991,3
253931,the+day+the+earth+stood+still+1951,88
342082,khartoum+1966,82
279752,americaneast+2008,113
190523,the+dark+knight+2008,63
341655,samurai+iii+duel+at+ganryu+island+1956,27
287097,the+birds+1963,64
106701,the+green+mile+1999,140
167736,lon+chaney+a+thousand+faces+2000,77
1396,come+and+see+1985,94
111057,taras+bulba+1962,54
148638,last+passenger+2013,87
114907,django+unchained+2012,47
49645,the+bride+comes+home+1935,60
351274,the+man+who+knew+too+much+1956,11
317501,the+man+who+knew+too+much+1956,98
102803,inception+2010,6
288699,one+flew+over+the+cuckoos+nest+1975,20
155510,undertow+2009,35
248633,harry+potter+and+the+prisoner+of+azkaban+2004,112
41189,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,117
80665,the+infinite+man+2014,58
307819,the+sensation+of+sight+2006,54
325145,princess+mononoke+1997,2
282860,the+dark+knight+rises+2012,58
29845,goodfellas+1990,46
14772,guardians+of+the+galaxy+2014,86
96057,dead+calm+1989,18
168494,kind+hearts+and+coronets+1949,64
251395,nobody+else+but+you+2011,54
130797,zen+2009,45
248933,here+without+me+2011,48
279215,phoenix+2014,90
246980,the+imitation+game+2014,63
292284,saving+private+ryan+1998,43
288726,the+boy+in+the+striped+pyjamas+2008,26
138317,beetlejuice+1988,32
327534,despicable+me+2010,69
324625,along+the+great+divide+1951,49
230243,strange+voyage+1964,15
654,dark+island+2010,24
181530,the+guard+2011,82
86320,jazz+2001,911
19157,lost+highway+1997,20
193026,husbands+1970,56
215853,the+forgotten+one+1989,91
52433,the+princess+and+the+frog+2009,28
76492,aliens+1986,39
281178,hotel+transylvania+2012,85
4970,silver+linings+playbook+2012,1
278165,raiders+of+the+lost+ark+1981,83
151344,avatar+2009,91
265187,two+family+house+2000,69
245801,even+the+rain+2010,96
99859,gone+girl+2014,115
340704,the+debt+1999,63
108161,the+hidden+fortress+1958,10
220717,julius+caesar+2002,87
249617,a+bittersweet+life+2005,92
154913,night+on+earth+1991,17
307443,reservoir+dogs+1992,90
289591,good+evening_+mr.+wallenberg+1990,95
107980,out+of+the+fog+1941,81
259511,go+go+tales+2007,59
87577,eklavya+the+royal+guard+2007,89
100647,teenage+dirtbag+2009,89
87547,the+lion+king+1994,15
173061,song+of+the+exile+1990,89
39602,mulan+1998,46
273299,the+good_+the+bad+and+the+ugly+1966,52
158158,x-men+days+of+future+past+2014,66
189514,men+in+black+1997,61
110488,dead+mans+shoes+2004,51
328926,jar+city+2006,85
164406,magic+camp+2012,62
157433,monga+2010,133
79338,a+brighter+summer+day+1991,180
5876,elsa++fred+2014,17
229821,only+angels+have+wings+1939,122
323460,teenage+mutant+ninja+turtles+2014,78
210353,zombeavers+2014,42
200516,stealing+a+nation+2004,57
261775,shining+night+a+portrait+of+composer+morten+lauridsen+2012,49
81461,pulp+fiction+1994,61
55296,how+to+be+2008,18
78489,rapid+fire+1992,46
98327,monty+python+and+the+holy+grail+1975,37
266171,tis+kakomoiras+1963,35
61313,the+words+2012,40
249205,the+defender+1994,54
46764,cabin+fever+patient+zero+2014,23
119424,breaking+the+surface+the+greg+louganis+story+1997,68
217032,the+thieves+2012,83
202506,beware+of+the+car+1966,27
291298,winter+in+wartime+2008,72
251350,mon+oncle+1958,37
77260,kidnapped+1960,66
341169,the+stuff+1985,41
329218,cowboys++aliens+2011,113
127345,the+shawshank+redemption+1994,31
239868,stuart+a+life+backwards+2007,56
32426,guardians+of+the+galaxy+2014,31
304593,winterhawk+1975,99
229122,key+largo+1948,18
166398,in+the+heart+of+the+sea+2015,86
6039,lugares+comunes+2002,77
229692,oceans+eleven+2001,13
179649,rashomon+1950,31
148315,nosferatu+the+vampyre+1979,57
91357,the+fifth+element+1997,46
190194,tale+of+cinema+2005,2
131797,castle+in+the+sky+1986,125
246751,murphys+romance+1985,108
3722,harry+potter+and+the+half-blood+prince+2009,98
182598,castle+of+purity+1973,100
262525,sixteen+candles+1984,83
289530,guardians+of+the+galaxy+2014,54
207281,pusher+iii+im+the+angel+of+death+2005,34
399,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,150
50048,citizenfour+2014,19
155861,toy+story+2+1999,58
255949,my+bodyguard+1980,14
341826,interstellar+2014,37
302063,the+girl+with+the+dragon+tattoo+2009,39
145148,pot+o+gold+1941,26
177694,original+sin+2001,63
37739,se7en+1995,71
56414,malcolm+x+1992,44
271703,between+the+folds+2008,3
323109,back+to+the+future+1985,105
327894,e.t.+the+extra-terrestrial+1982,40
194913,night+and+the+city+1950,58
141476,the+town+that+dreaded+sundown+1976,87
272628,josephine+2013,55
53317,autumn+sonata+1978,39
290924,frozen+2013,48
318841,a+place+at+the+table+2012,73
296527,inglourious+basterds+2009,35
197634,one+week+2008,18
134946,nil+by+mouth+1997,77
132059,ned+kelly+2003,60
305854,vengeance+the+story+of+tony+cimo+1986,81
151158,the+iceman+2012,97
18,whiplash+2014,53
60830,after+dark_+my+sweet+1990,33
333964,countdown+1968,94
198030,kirikou+and+the+sorceress+1998,50
134146,star+wars+1977,82
241968,meshes+of+the+afternoon+1943,2
194554,dial+m+for+murder+1954,10
67292,the+skeleton+key+2005,14
150721,the+imitation+game+2014,20
197966,the+boys+from+brazil+1978,26
214776,how+to+train+your+dragon+2+2014,56
271247,fantastic+4+rise+of+the+silver+surfer+2007,31
222455,corto+maltese+la+maison+dore+de+samarkand+2004,23
335162,puppet+master+axis+of+evil+2010,35
9359,the+imitation+game+2014,26
147841,dixie+chicks+shut+up+and+sing+2006,41
116447,all+these+women+1964,13
118749,if+i+were+king+1938,17
156606,love+in+the+time+of+cholera+2007,7
120796,peter+pan+1953,8
9413,dial+m+for+murder+1954,19
193127,klitschko+2011,9
283915,the+dark+knight+2008,12
210202,the+century+of+the+self+2002,9
256682,east+of+eden+1955,16
73270,comedy+of+innocence+2000,9
97193,an+american+werewolf+in+paris+1997,16
214169,predator+1987,35
101271,free+the+nipple+2014,12
303779,pacific+heights+1990,4
233354,the+inspector+general+1949,3
64562,jack+reacher+2012,3
348293,submarine+2011,7
141444,the+unknown+woman+2006,5
91001,cloudy+with+a+chance+of+meatballs+2+2013,2
18209,nobody+loves+me+1994,0
16832,despicable+me+2+2013,0
313262,mulan+1998,0
69358,starship+troopers+1997,0
521,air+raid+wardens+1943,19
186424,running+scared+1986,0
168156,reservoir+dogs+1992,0
225775,bread+and+roses+2000,0
181815,the+human+condition+i+no+greater+love+1959,0
254707,the+lion+king+1994,10
201766,the+princess+and+the+frog+2009,63
204091,our+idiot+brother+2011,91
91786,scarecrow+1973,90
246018,loners+2000,23
293129,the+hobbit+an+unexpected+journey+2012,33
274655,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,90
146530,panic+in+year+zero+1962,51
137736,blown+away+1993,84
74510,the+girl+who+leapt+through+time+2006,2
242196,the+terminator+1984,26
333396,sweet+bunch+1983,10
295475,toy+story+3+2010,62
253582,blade+runner+1982,105
56194,the+architecture+of+doom+1989,6
197202,the+thrill+of+brazil+1946,25
109355,how+high+2001,23
184585,sunrise+a+song+of+two+humans+1927,75
19881,an+affair+to+remember+1957,2
44075,ten+benny+1995,33
114987,stranger+than+fiction+2006,40
167757,on+guard+1997,117
98124,crooks+in+clover+1963,98
83232,blade+runner+1982,100
121617,empire+state+2013,82
349305,charlie+chan+at+the+wax+museum+1940,10
326340,people+like+us+2012,77
212844,the+blackbird+1926,5
120748,seven+samurai+1954,167
331725,kikujiro+1999,30
119984,hairspray+2007,115
161953,breathing+room+1996,91
123492,the+sweet+ride+1968,13
212928,avatar+2009,78
97054,spirited+away+2001,125
147631,in+the+shadow+of+the+moon+2007,104
10556,advanced+style+2014,34
194100,finding+nemo+2003,56
113882,amandla+a+revolution+in+four-part+harmony+2002,59
247832,guardians+of+the+galaxy+2014,56
191291,wizards+1977,53
6173,leon+the+professional+1994,85
85133,the+long+goodbye+1973,53
193667,the+beast+with+five+fingers+1946,24
207747,the+dark+knight+rises+2012,63
228845,x-men+days+of+future+past+2014,69
72920,how+to+train+your+dragon+2010,58
27934,the+tenant+1976,92
171516,once+upon+a+time+in+the+west+1968,174
280642,singin+in+the+rain+1952,20
235163,the+quarry+1998,36
125191,king+of+california+2007,75
53038,big+hero+6+2014,93
226103,the+lord+of+the+rings+the+two+towers+2002,102
197502,indiana+jones+and+the+temple+of+doom+1984,61
97797,humanit+1999,38
214270,gandhi+1982,147
1557,i+hate+mondays+1971,50
125053,amistad+1997,102
208733,crash+2004,44
310669,scanners+iii+the+takeover+1992,65
261277,the+prowler+1951,83
254780,ice+cream+man+1995,70
9487,the+conformist+1970,14
319355,thor+2011,77
244819,my+neighbor+totoro+1988,60
304384,a+bugs+life+1998,66
144756,days+of+darkness+2007,58
202914,zelig+1983,43
194116,gone+girl+2014,119
257214,like+it+is+1998,35
269956,alice+in+wonderland+2010,103
256915,princess+yang+kwei+fei+1955,48
15389,underground+1995,98
218907,raiders+of+the+lost+ark+1981,48
322586,duets+2000,55
149239,the+hobbit+an+unexpected+journey+2012,59
35833,how+to+train+your+dragon+2+2014,33
88612,peppermint+soda+1977,97
22091,the+leopard+1963,131
131392,rudo++cursi+2008,32
333105,empire+of+dreams+the+story+of+the+star+wars+trilogy+2004,18
238021,dr.+mabuse_+the+gambler+1922,145
130152,inception+2010,24
316769,despicable+me+2+2013,17
259906,fighter+in+the+wind+2004,106
208451,the+equalizer+2014,115
280343,the+dark+knight+2008,25
80943,running+scared+2006,64
228265,red+garters+1954,12
225261,girls+on+top+2001,13
25154,the+sacrifice+1986,41
13069,alive+1993,9
312676,life+is+a+miracle+2004,67
33104,hearty+paws+2006,6
343944,seven+samurai+1954,65
169415,walle+2008,88
280041,camp+de+thiaroye+1988,138
241889,the+long_+hot+summer+1958,54
1925,interstellar+2014,90
297419,the+raven+2006,27
88592,american+pie+1999,46
281776,one+bright+shining+moment+2005,26
19674,the+dark+knight+rises+2012,60
42700,the+green+mile+1999,136
324650,cinderella+man+2005,49
127101,stranger+than+fiction+2006,49
340374,conquest+1453+2012,97
135255,housebound+2014,102
40318,master+and+commander+the+far+side+of+the+world+2003,135
139605,sleeping+with+other+people+2015,57
91784,portrait+of+jennie+1948,28
163528,a+burning+hot+summer+2011,75
289474,the+way+we+laughed+1998,18
259088,tangled+2010,87
46924,spriggan+1998,4
215289,the+wild+bees+2001,49
239600,the+uninvited+2009,28
53640,breaking+the+waves+1996,3
37962,harry+potter+and+the+goblet+of+fire+2005,32
42599,protektor+2009,86
340320,grosse+pointe+blank+1997,106
58538,kikis+delivery+service+1989,98
69696,tom+jones+1963,99
228261,the+shawshank+redemption+1994,22
130749,men+in+black+ii+2002,54
249768,inland+empire+2006,5
253552,the+silver+chalice+1954,100
31337,the+act+of+killing+2012,59
71182,behind+the+candelabra+2013,113
2543,all+in+a+nights+work+1961,38
117087,alice+1990,74
86776,my+one+and+only+2009,27
177535,dead+ringers+1988,32
331941,magnum+force+1973,98
191647,the+piano+1993,99
139369,let+it+ride+1989,20
39589,seven+samurai+1954,5
150507,prt--porter+1994,103
269895,the+catered+affair+1956,72
78516,a+beautiful+mind+2001,63
307735,the+shawshank+redemption+1994,30
310491,the+wings+of+the+dove+1997,29
130313,straw+dogs+1971,16
142872,cross+of+iron+1977,125
221750,daddy+long+legs+1955,28
69937,the+godfather+1972,140
77043,widows+peak+1994,86
279006,paul+williams+still+alive+2011,20
