userid,movieid,minute
192565,my+blue+heaven+1950,16
352605,the+american+friend+1977,44
284197,gardens+of+the+night+2008,100
21275,we+bought+a+zoo+2011,68
6735,a+fool+there+was+1915,20
55925,friday+the+13th+1980,31
19318,anchors+aweigh+1945,85
201057,harry+potter+and+the+deathly+hallows+part+1+2010,87
22381,the+hobbit+an+unexpected+journey+2012,129
156704,blue+jasmine+2013,56
100678,wyatt+earps+revenge+2012,30
133766,black+sea+2014,71
210212,happiness+1935,91
318171,predator+1987,94
3794,shutter+island+2010,25
150119,zatichi+the+fugitive+1963,77
121457,white+hunter+black+heart+1990,44
26597,tis+kakomoiras+1963,60
133124,why+dont+you+play+in+hell+2013,28
105325,lets+make+money+2008,103
83046,hamlet+1980,72
116178,the+little+mermaid+1989,53
323566,the+shawshank+redemption+1994,75
241997,2001+a+space+odyssey+1968,75
60294,forrest+gump+1994,135
323366,small+roads+2011,39
83011,terminator+salvation+2009,71
348510,teen+spirit+2011,38
255095,das+merkwrdige+verhalten+geschlechtsreifer+grostdter+zur+paarungszeit+1998,67
158476,werner+-+volles+roo+1999,53
128615,aladdin+1992,5
54841,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,136
25278,microcosmos+1996,51
299038,white+hunter+black+heart+1990,47
271970,pirates+of+the+caribbean+at+worlds+end+2007,62
318873,ghostbusters+1984,36
342914,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,29
59657,honeymoon+in+vegas+1992,60
325145,princess+mononoke+1997,40
258887,chimes+at+midnight+1965,75
194122,armored+car+robbery+1950,4
326226,the+secret+world+of+arrietty+2010,34
166331,super+size+me+2004,55
339769,dear+frankie+2004,79
126551,elevator+2008,57
216039,indiana+jones+and+the+temple+of+doom+1984,69
78777,the+shining+1980,41
190194,tale+of+cinema+2005,40
328261,come+drink+with+me+1966,80
88468,the+stunt+man+1980,40
291063,romasanta+2004,39
272389,no+greater+love+2009,44
320094,pirates+of+the+caribbean+the+curse+of+the+black+pearl+2003,10
223665,great+expectations+1998,94
155871,contamination+1980,14
8898,the+godfather+1972,1
282243,mr.++mrs.+smith+2005,121
246672,chasing+amy+1997,33
4426,torn+curtain+1966,106
29478,vera+drake+2004,83
268225,the+dark+knight+2008,82
114887,croupier+1998,48
260471,aliens+1986,21
36527,hippocrates+2014,53
238253,the+day+the+earth+stood+still+1951,9
274958,cold+mountain+2003,92
16982,support+your+local+sheriff+1969,15
5738,the+loneliness+of+the+long+distance+runner+1962,66
43565,the+equalizer+2014,8
347319,moebius+redux+a+life+in+pictures+2007,23
301523,leaves+of+grass+2009,19
180566,shaolin+kung-fu+mystagogue+1977,58
337412,oceans+eleven+2001,63
255838,u-571+2000,29
73565,the+hobbit+the+battle+of+the+five+armies+2014,5
321449,along+the+sungari+river+1947,14
78748,reservoir+dogs+1992,10
2341,fury+2014,26
170647,the+international+2009,75
170683,dr.+jekyll+and+mr.+hyde+1941,81
211607,shutter+island+2010,46
313151,singin+in+the+rain+1952,57
175503,ponyo+2008,52
43538,veronika+decides+to+die+2009,20
28129,a+tale+of+two+sisters+2003,36
113133,happenstance+2000,25
323574,constantine+2005,100
5597,chan+is+missing+1982,28
204552,the+man+who+knew+too+much+1956,47
299721,taras+bulba+1962,18
273438,beauty+and+the+beast+1991,35
290422,inception+2010,126
202692,before+sunrise+1995,105
170299,terminator+2+judgment+day+1991,94
305044,age+of+heroes+2011,21
333186,memento+2000,2
111814,american+zombie+2007,2
36747,werner+-+gekotzt+wird+spter+2003,43
225612,the+black+cauldron+1985,43
151495,the+equalizer+2014,22
112603,the+edge+of+the+world+1937,2
151554,despicable+me+2010,2
37548,batman+begins+2005,11
69702,star+wars+episode+ii+-+attack+of+the+clones+2002,134
126904,zeus++roxanne+1997,60
217235,feeding+frenzy+2010,4
11838,toy+story+3+2010,88
141668,the+long+walk+home+1990,17
16620,saving+private+ryan+1998,38
36317,reprise+2006,15
114051,stonehearst+asylum+2014,17
98417,jezebel+1938,0
136472,peacock+2010,0
173080,the+detective+2+2011,0
26091,angel+dog+2011,1
27429,win+a+date+with+tad+hamilton+2004,6
87617,up+2009,22
221042,when+a+man+loves+a+woman+1994,3
206859,harry+potter+and+the+philosophers+stone+2001,0
193773,nora+roberts+midnight+bayou+2009,0
260206,the+godfather+1972,0
265761,the+cat+returns+2002,42
346004,pavilion+of+women+2001,36
223587,seven+samurai+1954,136
218639,on+the+road+2012,10
81878,pirates+of+the+caribbean+at+worlds+end+2007,81
309072,back+to+the+future+1985,1
200782,i+killed+my+mother+2009,50
291680,snowpiercer+2013,45
214270,gandhi+1982,180
283538,barefoot+in+the+park+1967,13
85154,the+shawshank+redemption+1994,11
330618,vixen+1968,49
51966,the+year+01+1973,56
215148,a+snake+of+june+2002,38
293738,spider-man+2002,18
11313,pinocchio+2002,47
228584,a+bay+of+blood+1971,46
95432,the+lost+weekend+1945,99
109814,unstoppable+2010,13
142684,doc+of+the+dead+2014,67
277704,is+it+college+yet+2002,45
247449,tape+2001,36
72728,altman+2014,25
227195,die+hard+1988,111
140662,bachelor+party+vegas+2006,77
351703,pulp+fiction+1994,80
113226,the+frozen+ghost+1945,25
262490,jesse+stone+thin+ice+2009,42
196946,terminator+2+judgment+day+1991,10
291078,the+ledge+2011,60
183760,the+dark+knight+rises+2012,67
45339,khumba+2013,69
78388,white+palace+1990,98
347135,lean+on+me+1989,34
240069,willy+wonka++the+chocolate+factory+1971,64
7361,diary+of+a+country+priest+1951,38
804,thirst+2009,109
50845,the+green+mile+1999,156
210017,lebanon_+pa.+2011,34
283716,orphan+2009,94
342550,populaire+2012,11
82304,my+mothers+castle+1990,17
183047,there+was+a+crooked+man...+1970,16
171342,emperor+2012,92
345585,forrest+gump+1994,72
268844,the+cars+that+ate+paris+1974,27
34357,inherit+the+wind+1960,63
101516,videodrome+1983,83
268480,father+sergius+1918,6
265460,alexanders+ragtime+band+1938,82
139789,talladega+nights+the+ballad+of+ricky+bobby+2006,44
254622,the+dark+knight+2008,39
190651,police+story+1985,93
330326,,
192422,kill+bill+vol.+1+2003,3
149111,cube+1997,28
50860,the+firemens+ball+1967,16
5583,herods+law+1999,40
110488,dead+mans+shoes+2004,89
148536,the+green+mile+1999,155
194770,decoy+1946,55
346866,how+to+train+your+dragon+2+2014,75
164228,identification+marks+none+1965,51
176995,the+good_+the+bad+and+the+ugly+1966,91
138385,a+dispatch+from+reuters+1940,21
314037,interstellar+2014,133
29907,guardians+of+the+galaxy+2014,117
5118,jacks+back+1988,30
294611,emr+2004,49
152219,the+best+years+of+our+lives+1946,159
223470,the+four+musketeers+1974,44
272425,the+mummy+1999,85
247099,steam+of+life+2010,81
342195,a+bugs+life+1998,77
19158,dirt+2001,39
215130,aladdin+1992,15
194289,battle+of+the+year+2013,3
247941,interstellar+2014,52
26092,guardians+of+the+galaxy+2014,47
9787,saving+private+ryan+1998,121
209137,devils+knot+2013,29
94147,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,94
187009,the+happiest+millionaire+1967,9
104036,the+imitation+game+2014,13
139504,dragon+ball+z+broly+-+the+legendary+super+saiyan+1993,50
229205,the+hobbit+an+unexpected+journey+2012,137
343812,sabata+1969,79
299588,the+lord+of+the+rings+the+two+towers+2002,103
239402,the+heiress+1949,27
8280,the+kentucky+fried+movie+1977,67
143365,i_+robot+2004,94
33541,mixed+blood+1984,62
93448,harry+potter+and+the+prisoner+of+azkaban+2004,94
128229,kannathil+muthamittal+2002,92
49639,man+of+the+world+1931,54
154054,the+wolf+of+wall+street+2013,180
238578,toy+story+2+1999,3
139379,ghost+in+the+shell+2+innocence+2004,50
145310,interstellar+2014,160
152949,pathology+2008,22
142319,the+power+of+one+1992,89
109672,it+follows+2015,23
306956,the+bridesmaid+2004,65
323346,hairspray+2007,67
197988,ticker+2001,65
141879,zqmusHIIxr4c6i48zeMJu0ywaurhcoH15loj10brTFlupe,65
32690,the+lord+of+the+rings+the+two+towers+2002,156
17267,when+strangers+appear+2001,45
93281,the+green+mile+1999,16
326638,harry+potter+and+the+chamber+of+secrets+2002,89
44470,the+lady+eve+1941,52
301718,sixteen+candles+1984,12
217096,interstellar+2014,34
44033,family+1996,35
44724,all+things+fair+1995,54
59176,the+pride+of+the+yankees+1942,76
141739,moonlight+and+cactus+1944,25
321023,the+other+guys+2010,10
17026,the+daytrippers+1996,60
153211,absentia+2011,22
124310,whisper+of+the+heart+1995,40
251868,the+end+of+suburbia+oil+depletion+and+the+collapse+of+the+american+dream+2004,54
282978,easy+money+ii+2012,25
226651,rashomon+1950,32
302478,one+flew+over+the+cuckoos+nest+1975,3
280675,oliver++company+1988,4
124863,the+inspector+1962,76
166392,willy+wonka++the+chocolate+factory+1971,12
139369,let+it+ride+1989,58
155099,whisper+of+the+heart+1995,79
313134,the+dark+knight+rises+2012,4
29845,goodfellas+1990,84
342340,running+mates+1992,86
236411,mary+and+max+2009,68
302196,berserk+the+golden+age+arc+3+-+the+advent+2013,34
232438,braindead+1992,101
162641,sirocco+1951,37
326711,sita+sings+the+blues+2008,82
245199,an+american+tail+the+mystery+of+the+night+monster+1999,72
273344,willy+wonka++the+chocolate+factory+1971,42
232217,all+of+me+1984,7
156631,wit+2001,86
96961,blonde+venus+1932,39
213434,star+trek+into+darkness+2013,48
148286,hunting+and+gathering+2007,78
133051,harry+potter+and+the+chamber+of+secrets+2002,65
208736,movie+movie+1978,9
20485,big+hero+6+2014,92
350767,casino+royale+2006,76
146144,underground+the+julian+assange+story+2012,75
246267,finding+forrester+2000,118
93949,first+blood+1982,59
296867,lawrence+of+arabia+1962,169
197108,harry+potter+and+the+deathly+hallows+part+2+2011,102
88955,jiro+dreams+of+sushi+2011,16
60055,the+lord+of+the+rings+the+return+of+the+king+2003,93
73240,glory+1989,47
330514,the+white+haired+witch+of+lunar+kingdom+2014,77
81080,broken+embraces+2009,13
86240,breakout+2013,39
256478,ratatouille+2007,39
224595,charlie+and+the+chocolate+factory+2005,43
23750,doctor+zhivago+1965,150
25300,kabhi+khushi+kabhie+gham+2001,19
157466,the+croods+2013,93
187506,the+browning+version+1951,57
12839,interstellar+2014,144
347699,hyenas+1992,17
17254,the+dark+knight+2008,57
128748,gleaming+the+cube+1989,43
88909,e.t.+the+extra-terrestrial+1982,3
223281,the+gatekeepers+2012,100
229911,romeo+and+juliet+1936,19
274774,pulp+fiction+1994,73
34787,the+day+of+the+locust+1975,127
222431,death+of+a+cyclist+1955,73
61584,ice+age+dawn+of+the+dinosaurs+2009,17
75800,life+is+all+you+get+1997,109
99488,harry+potter+and+the+prisoner+of+azkaban+2004,116
208593,faith+like+potatoes+2006,31
340873,blade+runner+1982,113
161984,independence+day+1996,128
83086,the+feminine+touch+1941,94
32452,leon+the+professional+1994,16
59634,women+on+the+verge+of+a+nervous+breakdown+1988,66
106601,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,42
208271,rage+of+angels+the+story+continues+1986,98
62773,back+to+the+future+1985,46
273981,melissa+p.+2005,60
170773,sunset+strip+2000,71
88644,cheeky+2000,69
279530,apollo+13+1995,44
209043,my+fhrer+2007,74
112255,gun+fury+1953,8
172933,love++other+drugs+2010,76
94516,dead+or+alive+2+birds+2000,12
6902,the+matrix+1999,124
71986,cinderella+2015,18
302171,2001+a+space+odyssey+1968,101
306607,saving+private+ryan+1998,146
300872,manon+of+the+spring+1986,117
12852,a+short+film+about+love+1988,38
95315,the+matrix+1999,114
39685,anchors+aweigh+1945,55
35557,challenge+of+the+masters+1976,71
189481,halloweentown+ii+kalabars+revenge+2001,47
188764,chimes+at+midnight+1965,76
51954,zebra+lounge+2001,91
78423,the+dark+knight+2008,128
118485,one+flew+over+the+cuckoos+nest+1975,76
242394,the+andromeda+strain+1971,61
292460,cinderella+1950,7
192681,the+sea+gull+1968,52
215287,seven+samurai+1954,122
129119,brooklyn+castle+2012,85
268744,long+live+death+1971,54
331424,leon+the+professional+1994,6
253197,legion+2010,27
309719,the+rolling+stones+stones+in+exile+2010,62
229852,x-men+days+of+future+past+2014,83
64371,the+last+emperor+1987,22
225043,another+mans+poison+1951,74
165061,dr.+no+1962,110
313709,the+terminator+1984,21
338648,the+cable+guy+1996,26
19467,the+lord+of+the+rings+the+return+of+the+king+2003,40
233804,la+commune+paris_+1871+2001,98
179453,elegy+2008,90
96206,johns+1996,35
20824,ninja+assassin+2009,92
242202,the+tale+of+zatichi+1962,8
80467,hyde+park+on+hudson+2012,28
129938,judgment+night+1993,109
287187,the+price+of+milk+2000,41
17624,gran+torino+2008,59
115104,man+of+la+mancha+1972,114
10683,toy+story+2+1999,88
48954,hedwig+and+the+angry+inch+2001,80
229177,ivan+the+terrible_+part+i+1945,62
174778,dogville+2003,55
308079,from+dusk+till+dawn+1996,107
301648,barnacle+bill+1941,82
52038,the+old+dark+house+1932,49
218590,one+to+another+2006,54
24324,hell+house+2001,49
197706,lars+and+the+real+girl+2007,19
255530,le+cercle+rouge+1970,86
60839,anchors+aweigh+1945,15
349162,atlas+shrugged+part+i+2011,64
46697,the+wind+that+shakes+the+barley+2006,118
161605,journey+to+portugal+2011,76
88691,picnic+at+hanging+rock+1975,73
345949,man+for+a+day+2012,71
234152,aliens+1986,86
291419,enlightenment+guaranteed+2000,55
337770,the+shining+1980,94
198205,nude+for+satan+1974,19
127419,ringu+1998,37
42391,jay+and+silent+bob+strike+back+2001,84
116012,the+messenger+2009,69
148512,suspiria+1977,39
347020,sound+city+2013,39
132114,a+very+brady+sequel+1996,13
136797,the+boy+who+cried+werewolf+2010,42
51634,valley+girl+1983,44
257544,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,72
115128,the+cranes+are+flying+1957,37
149837,the+godfather+1972,54
27096,dredd+2012,43
246018,loners+2000,61
69811,two+days+in+april+2007,30
10487,fitzcarraldo+1982,102
350278,mr.++mrs.+smith+2005,75
202081,notorious+1946,54
196962,let+the+right+one+in+2008,65
137624,heir+to+an+execution+2004,65
107757,a+life+less+ordinary+1997,37
62343,star+wars+episode+iii+-+revenge+of+the+sith+2005,138
213204,stand+by+me+doraemon+2014,38
126415,reservoir+dogs+1992,56
36756,princess+mononoke+1997,55
339762,inception+2010,17
79662,the+pixar+story+2007,47
134639,stella+street+2004,25
328118,lean+on+me+1989,54
177381,interstellar+2014,59
178228,the+trial+1962,89
190282,poetry+2010,18
345524,interstellar+2014,49
85931,dances+with+wolves+1990,9
56925,the+wolf+of+wall+street+2013,145
97514,a+question+of+silence+1982,15
256590,the+gods+must+be+crazy+1980,6
14644,a+summer+in+st.+tropez+1983,36
314380,ray+2004,54
125490,the+good_+the+bad+and+the+ugly+1966,17
352328,me+without+you+2001,31
81450,kikis+delivery+service+1989,4
72281,beyond+justice+1992,36
65117,that+obscure+object+of+desire+1977,7
92717,the+pink+panther+2006,14
51376,raiders+of+the+lost+ark+1981,7
290661,deep+cover+1992,76
45867,winter+sleep+2014,4
271579,the+children+of+noisy+village+1986,9
170448,lightning+in+a+bottle+2004,98
317677,the+imitation+game+2014,51
314356,the+package+1989,15
22705,stray+cat+rock+delinquent+girl+boss+1970,67
243453,tangled+2010,71
247830,the+bridge+on+the+river+kwai+1957,46
99098,kikis+delivery+service+1989,75
62953,the+trouble+with+harry+1955,82
50009,predator+1987,94
309585,fade+to+black+2004,58
246614,monsters_+inc.+2001,69
68155,the+year+of+the+wolf+2007,90
323417,pather+panchali+1955,99
263260,star+wars+1977,7
127424,the+brave+one+2007,29
63117,goodfellas+1990,63
136848,chinatown+1974,25
350598,the+protector+2005,61
174019,the+messenger+2009,19
274520,big+trouble+1986,57
101453,enough+said+2013,90
345544,the+quiet+2005,43
256553,castle+in+the+sky+1986,63
97205,lucia+2013,129
99948,frozen+2013,32
100783,kill+me+now+2012,64
349561,all+the+presidents+men+1976,96
208392,buy+the+ticket_+take+the+ride+2006,48
103376,lumire+and+company+1995,25
255181,reservoir+dogs+1992,47
317464,ghostbusters+1984,77
298156,gone+girl+2014,56
73668,three+faces+east+1930,51
31817,saving+private+ryan+1998,77
269803,the+lavender+hill+mob+1951,57
87515,all+about+steve+2009,78
94157,pleasure+party+1975,52
337058,who+am+i+1998,74
54188,interstellar+2014,96
251854,at+midnight+ill+take+your+soul+1964,40
180909,the+outlaw+1943,90
95680,fight+club+1999,23
91318,fx2+1991,78
332529,the+court+jester+1955,89
107111,saratoga+1937,40
92797,inception+2010,88
296616,call+me+bwana+1963,19
243126,the+lord+of+the+rings+the+return+of+the+king+2003,123
272048,cold+sweat+1970,45
301413,idiot+box+1996,1
82993,the+color+of+pomegranates+1969,53
31432,the+living+daylights+1987,75
257423,aliens+vs+predator+requiem+2007,77
99747,the+thin+blue+line+1988,50
245584,fixed+bayonets+1951,59
334601,baby+boy+2001,28
211638,carlitos+way+1993,33
320367,the+cats+meow+2001,80
128158,monsters_+inc.+2001,22
222887,folks+1992,43
236442,big+hero+6+2014,15
130953,men+in+black+1997,10
157062,where+the+boys+are+1960,82
116471,the+sleep+room+1998,22
244170,galaxy+quest+1999,74
210878,hard+to+be+a+god+2013,51
13496,the+man+who+laughs+2012,10
254495,anguish+1987,50
317401,lupin+the+third+the+castle+of+cagliostro+1979,79
188350,the+dark+knight+2008,45
193576,inception+2010,89
342832,e.t.+the+extra-terrestrial+1982,37
19029,the+lord+of+the+rings+the+fellowship+of+the+ring+2001,95
35721,marie+antoinette+2006,91
188131,the+wolf+of+wall+street+2013,39
212269,night+at+the+museum+battle+of+the+smithsonian+2009,1
169987,batman+begins+2005,92
333213,the+invisible+woman+2009,54
186040,samaritan+girl+2004,96
88933,white+night+2007,93
5896,love+letter+1995,90
124619,wife+1953,47
232503,pirates+of+the+caribbean+at+worlds+end+2007,155
89507,a+dangerous+place+2012,14
42492,the+war+2007,439
6077,the+way+to+the+stars+1945,41
72370,eden+2012,59
122705,independence+day+1996,3
123346,state+of+grace+1990,77
182093,the+lorax+2012,7
73362,an+american+tail+fievel+goes+west+1991,37
271608,state+of+play+2009,90
41115,remember+the+titans+2000,27
20582,wristcutters+a+love+story+2006,67
250313,desperate+living+1977,54
104673,hugo+2011,35
123936,sahara+1943,7
348900,in+darkness+2011,32
344432,postcards+from+the+edge+1990,76
342450,nausica+of+the+valley+of+the+wind+1984,18
200316,in+old+california+1942,67
86127,the+chorus+2004,59
139802,pathfinder+2007,94
35951,pulp+fiction+1994,21
142337,paradise+faith+2012,9
316364,butch+cassidy+and+the+sundance+kid+1969,71
240636,a+little+romance+1979,80
208186,haider+2014,142
85279,breakheart+pass+1975,62
242911,christmas+in+august+1998,24
188840,la+planque+2011,30
29480,interstellar+2014,162
266637,the+green+mile+1999,64
96174,the+amazing+spider-man+2012,5
32278,toy+story+1995,64
59934,merlins+apprentice+2006,131
236688,lon+morin_+priest+1961,41
264361,princess+mononoke+1997,92
125037,sudden+impact+1983,25
235014,berlin+alexanderplatz+1980,72
218782,the+longest+yard+1974,107
338059,sacco++vanzetti+1971,73
238452,the+man+who+could+cheat+death+1959,38
61185,one+eight+seven+1997,59
