userid,movieid,minute
88716,brooklyn+bridge+1982,44.0
277903,fresh+1994,77.0
312424,rainy+dog+1997,11.0
237114,the+great+debaters+2007,113.0
297547,tyson+2008,43.0
284406,seeking+a+friend+for+the+end+of+the+world+2012,87.0
130429,one+hundred+men+and+a+girl+1937,77.0
114706,monsters_+inc.+2001,63.0
33169,the+three+musketeers+1973,50.0
197711,spider-man+2002,45.0
139076,the+10th+kingdom+2000,403.0
136111,her+2013,55.0
324643,sympathy+for+lady+vengeance+2005,48.0
322823,the+longest+day+1962,33.0
20094,sal_+or+the+120+days+of+sodom+1975,6.0
143171,evil+roy+slade+1972,47.0
240173,shrink+2009,84.0
130007,child+of+god+2014,9.0
86740,call+her+savage+1932,86.0
61691,zack+and+miri+make+a+porno+2008,33.0
223281,the+gatekeepers+2012,62.0
188883,paparazzi+2004,3.0
316496,sir+arnes+treasure+1919,83.0
284639,galaxy+express+999+1979,114.0
70048,diner+1982,23.0
95494,instructions+not+included+2013,66.0
151412,turn+me+on_+dammit+2011,57.0
31051,rare+exports+a+christmas+tale+2010,2.0
220956,the+desert+fox+the+story+of+rommel+1951,48.0
34941,x-men+days+of+future+past+2014,128.0
289959,dances+with+wolves+1990,112.0
85210,man+on+a+mission+richard+garriotts+road+to+the+stars+2010,48.0
186840,el+norte+1983,142.0
38319,despicable+me+2+2013,35.0
169942,spider-man+3+2007,55.0
125386,howls+moving+castle+2004,83.0
96486,prisoner+701+sasori+2008,28.0
313631,the+sting+1973,40.0
167860,mr.+klein+1976,97.0
96113,the+good+lie+2014,12.0
52979,the+flight+before+christmas+2008,27.0
124138,comes+a+bright+day+2012,64.0
268893,the+five+obstructions+2003,69.0
236722,the+magical+legend+of+the+leprechauns+1999,113.0
31037,quantum+of+solace+2008,102.0
144198,payback+1999,12.0
277973,71+fragments+of+a+chronology+of+chance+1994,33.0
125327,a+night+at+the+movies+the+horrors+of+stephen+king+2011,49.0
341407,men+in+black+1997,5.0
249522,on+her+majestys+secret+service+1969,139.0
113541,i+am+trying+to+break+your+heart+2002,84.0
314989,seventh+son+2014,47.0
198650,an+angel+at+my+table+1990,150.0
52059,a+tale+of+two+sisters+2003,44.0
326257,gladiator+2000,141.0
254803,beauty+and+the+beast+1991,53.0
220577,hunger+2009,79.0
217882,beautiful+thing+1996,31.0
254196,spirited+away+2001,92.0
89760,focus+2001,5.0
351409,sexual+predator+2001,34.0
243910,tracers+2015,41.0
284013,don+camillo+1952,98.0
220142,chungking+express+1994,34.0
346653,beetlejuice+1988,27.0
349453,forrest+gump+1994,62.0
20836,blue+spring+2001,34.0
203695,alices+adventures+in+wonderland+1972,13.0
165782,snow+white+and+the+seven+dwarfs+1937,53.0
161327,the+adventures+of+tintin+2011,56.0
86170,twilight+2008,116.0
121607,u8SHqOxj49,94.0
279228,le+plaisir+1952,66.0
166159,kiss+kiss+bang+bang+2005,77.0
263968,eddie+izzard+dress+to+kill+1999,52.0
171219,guardians+of+the+galaxy+2014,98.0
348420,village+of+the+damned+1995,11.0
114133,happiness+1935,65.0
206853,from+here+to+eternity+1953,112.0
263144,the+straight+story+1999,43.0
76222,the+burning+bed+1984,41.0
213689,love+in+the+afternoon+1957,87.0
150327,prince+of+the+city+1981,157.0
86718,the+business+of+being+born+2008,27.0
335260,dial+m+for+murder+1954,83.0
248818,a+matter+of+life+and+death+1946,22.0
244025,hori+smoku+sailor+jerry+2008,38.0
313043,a+grain+of+truth+2015,8.0
81837,the+godfather+1972,32.0
21807,modern+boy+2008,59.0
39403,delicatessen+1991,45.0
222339,that+uncertain+feeling+1941,58.0
16577,night+across+the+street+2012,46.0
349328,new+world+2013,76.0
350498,but+im+a+cheerleader+1999,7.0
49353,ratatouille+2007,67.0
237346,the+big+sleep+1946,54.0
226385,dating+games+people+play+2008,64.0
270596,the+green+mile+1999,124.0
264489,john+adams+2008,22.0
101323,300+2006,112.0
49704,beginners+2010,60.0
65,lets+get+lost+1988,50.0
143693,virus+1999,15.0
126154,elling+2001,39.0
333359,charlies+angels+full+throttle+2003,92.0
92052,the+crazies+1973,31.0
279850,hercules+and+the+lost+kingdom+1994,74.0
60748,the+story+of+g.i.+joe+1945,46.0
204295,scarface+1983,161.0
314617,broken+english+2007,39.0
349162,atlas+shrugged+part+i+2011,26.0
88109,the+flamingo+kid+1984,25.0
242983,what+no+one+knows+2008,48.0
327878,empire+of+the+wolves+2005,19.0
240460,a+face+in+the+crowd+1957,35.0
20145,the+hobbit+the+desolation+of+smaug+2013,62.0
61898,the+city+of+lost+souls+2000,55.0
46697,the+wind+that+shakes+the+barley+2006,80.0
165798,the+human+condition+iii+a+soldiers+prayer+1961,24.0
351570,the+perils+of+pauline+1914,396.0
224161,after+the+thin+man+1936,15.0
141947,bad+education+2004,64.0
108263,misery+1990,9.0
29991,fiddler+on+the+roof+1971,7.0
284320,die+hard+1988,10.0
8025,daddy+longlegs+2009,95.0
246948,small+apartments+2012,76.0
335467,monster+2003,11.0
1917,the+smurfs+2+2013,46.0
1926,in+this+our+life+1942,4.0
334948,aladdin+1992,61.0
337297,goodbye+world+2013,101.0
276721,viola+2012,17.0
186074,GnjPfPIVkAQpiok3JL1t,59.0
83046,hamlet+1980,34.0
170220,night+will+fall+2014,19.0
267509,one+eight+seven+1997,54.0
323587,short+cuts+1993,58.0
115549,animal+house+1978,77.0
321292,red+garters+1954,28.0
26380,10+rillington+place+1971,3.0
117297,another+gay+movie+2006,79.0
315587,kinjite+forbidden+subjects+1989,67.0
67892,angels+in+america+2003,323.0
331549,the+statue+of+liberty+1985,34.0
226502,fierce+creatures+1997,60.0
93632,savior+1998,84.0
249731,the+inbetweeners+2+2014,91.0
315151,still+of+the+night+1982,49.0
104973,star+wars+episode+ii+-+attack+of+the+clones+2002,47.0
301303,riffraff+1936,61.0
289228,a+short+history+of+decay+2014,48.0
273100,love_+money_+love+2000,50.0
152670,das+boot+1981,34.0
190061,a+tale+of+two+cities+1958,19.0
327572,x-men+first+class+2011,120.0
331429,crumb+1994,108.0
94675,the+woman+chaser+1999,48.0
220812,first+blood+1982,39.0
270396,johnny+stecchino+1991,3.0
253931,the+day+the+earth+stood+still+1951,88.0
342082,khartoum+1966,82.0
279752,americaneast+2008,113.0
341655,samurai+iii+duel+at+ganryu+island+1956,27.0
287097,the+birds+1963,64.0
167736,lon+chaney+a+thousand+faces+2000,77.0
1396,come+and+see+1985,94.0
111057,taras+bulba+1962,54.0
148638,last+passenger+2013,87.0
114907,django+unchained+2012,47.0
49645,the+bride+comes+home+1935,60.0
351274,the+man+who+knew+too+much+1956,11.0
155510,undertow+2009,35.0
80665,the+infinite+man+2014,58.0
307819,the+sensation+of+sight+2006,54.0
96057,dead+calm+1989,18.0
168494,kind+hearts+and+coronets+1949,64.0
251395,nobody+else+but+you+2011,54.0
130797,zen+2009,45.0
248933,here+without+me+2011,48.0
279215,phoenix+2014,90.0
288726,the+boy+in+the+striped+pyjamas+2008,26.0
327534,despicable+me+2010,69.0
324625,along+the+great+divide+1951,49.0
230243,strange+voyage+1964,15.0
654,dark+island+2010,24.0
181530,the+guard+2011,82.0
86320,jazz+2001,911.0
19157,lost+highway+1997,20.0
193026,husbands+1970,56.0
215853,the+forgotten+one+1989,91.0
52433,the+princess+and+the+frog+2009,28.0
76492,aliens+1986,39.0
281178,hotel+transylvania+2012,85.0
4970,silver+linings+playbook+2012,1.0
265187,two+family+house+2000,69.0
245801,even+the+rain+2010,96.0
340704,the+debt+1999,63.0
108161,the+hidden+fortress+1958,10.0
220717,julius+caesar+2002,87.0
249617,a+bittersweet+life+2005,92.0
154913,night+on+earth+1991,17.0
289591,good+evening_+mr.+wallenberg+1990,95.0
107980,out+of+the+fog+1941,81.0
259511,go+go+tales+2007,59.0
87577,eklavya+the+royal+guard+2007,89.0
100647,teenage+dirtbag+2009,89.0
173061,song+of+the+exile+1990,89.0
39602,mulan+1998,46.0
110488,dead+mans+shoes+2004,51.0
328926,jar+city+2006,85.0
164406,magic+camp+2012,62.0
157433,monga+2010,133.0
79338,a+brighter+summer+day+1991,180.0
5876,elsa++fred+2014,17.0
229821,only+angels+have+wings+1939,122.0
323460,teenage+mutant+ninja+turtles+2014,78.0
210353,zombeavers+2014,42.0
200516,stealing+a+nation+2004,57.0
261775,shining+night+a+portrait+of+composer+morten+lauridsen+2012,49.0
55296,how+to+be+2008,18.0
78489,rapid+fire+1992,46.0
98327,monty+python+and+the+holy+grail+1975,37.0
266171,tis+kakomoiras+1963,35.0
61313,the+words+2012,40.0
249205,the+defender+1994,54.0
46764,cabin+fever+patient+zero+2014,23.0
119424,breaking+the+surface+the+greg+louganis+story+1997,68.0
217032,the+thieves+2012,83.0
202506,beware+of+the+car+1966,27.0
291298,winter+in+wartime+2008,72.0
251350,mon+oncle+1958,37.0
77260,kidnapped+1960,66.0
341169,the+stuff+1985,41.0
329218,cowboys++aliens+2011,113.0
239868,stuart+a+life+backwards+2007,56.0
304593,winterhawk+1975,99.0
229122,key+largo+1948,18.0
166398,in+the+heart+of+the+sea+2015,86.0
6039,lugares+comunes+2002,77.0
229692,oceans+eleven+2001,13.0
179649,rashomon+1950,31.0
148315,nosferatu+the+vampyre+1979,57.0
91357,the+fifth+element+1997,46.0
190194,tale+of+cinema+2005,2.0
246751,murphys+romance+1985,108.0
3722,harry+potter+and+the+half-blood+prince+2009,98.0
182598,castle+of+purity+1973,100.0
262525,sixteen+candles+1984,83.0
207281,pusher+iii+im+the+angel+of+death+2005,34.0
50048,citizenfour+2014,19.0
155861,toy+story+2+1999,58.0
255949,my+bodyguard+1980,14.0
302063,the+girl+with+the+dragon+tattoo+2009,39.0
145148,pot+o+gold+1941,26.0
177694,original+sin+2001,63.0
56414,malcolm+x+1992,44.0
271703,between+the+folds+2008,3.0
327894,e.t.+the+extra-terrestrial+1982,40.0
194913,night+and+the+city+1950,58.0
141476,the+town+that+dreaded+sundown+1976,87.0
272628,josephine+2013,55.0
53317,autumn+sonata+1978,39.0
290924,frozen+2013,48.0
318841,a+place+at+the+table+2012,73.0
296527,inglourious+basterds+2009,35.0
197634,one+week+2008,18.0
134946,nil+by+mouth+1997,77.0
132059,ned+kelly+2003,60.0
305854,vengeance+the+story+of+tony+cimo+1986,81.0
151158,the+iceman+2012,97.0
60830,after+dark_+my+sweet+1990,33.0
333964,countdown+1968,94.0
241968,meshes+of+the+afternoon+1943,2.0
67292,the+skeleton+key+2005,14.0
197966,the+boys+from+brazil+1978,26.0
214776,how+to+train+your+dragon+2+2014,56.0
271247,fantastic+4+rise+of+the+silver+surfer+2007,31.0
222455,corto+maltese+la+maison+dore+de+samarkand+2004,23.0
335162,puppet+master+axis+of+evil+2010,35.0
147841,dixie+chicks+shut+up+and+sing+2006,41.0
116447,all+these+women+1964,13.0
118749,if+i+were+king+1938,17.0
156606,love+in+the+time+of+cholera+2007,7.0
193127,klitschko+2011,9.0
210202,the+century+of+the+self+2002,9.0
256682,east+of+eden+1955,16.0
73270,comedy+of+innocence+2000,9.0
97193,an+american+werewolf+in+paris+1997,16.0
214169,predator+1987,35.0
101271,free+the+nipple+2014,12.0
303779,pacific+heights+1990,4.0
233354,the+inspector+general+1949,3.0
64562,jack+reacher+2012,3.0
348293,submarine+2011,7.0
141444,the+unknown+woman+2006,5.0
91001,cloudy+with+a+chance+of+meatballs+2+2013,2.0
18209,nobody+loves+me+1994,0.0
69358,starship+troopers+1997,0.0
521,air+raid+wardens+1943,19.0
186424,running+scared+1986,0.0
225775,bread+and+roses+2000,0.0
181815,the+human+condition+i+no+greater+love+1959,0.0
204091,our+idiot+brother+2011,91.0
91786,scarecrow+1973,90.0
246018,loners+2000,23.0
146530,panic+in+year+zero+1962,51.0
137736,blown+away+1993,84.0
74510,the+girl+who+leapt+through+time+2006,2.0
242196,the+terminator+1984,26.0
333396,sweet+bunch+1983,10.0
295475,toy+story+3+2010,62.0
56194,the+architecture+of+doom+1989,6.0
197202,the+thrill+of+brazil+1946,25.0
109355,how+high+2001,23.0
184585,sunrise+a+song+of+two+humans+1927,75.0
19881,an+affair+to+remember+1957,2.0
44075,ten+benny+1995,33.0
114987,stranger+than+fiction+2006,40.0
167757,on+guard+1997,117.0
98124,crooks+in+clover+1963,98.0
121617,empire+state+2013,82.0
349305,charlie+chan+at+the+wax+museum+1940,10.0
326340,people+like+us+2012,77.0
212844,the+blackbird+1926,5.0
331725,kikujiro+1999,30.0
119984,hairspray+2007,115.0
161953,breathing+room+1996,91.0
123492,the+sweet+ride+1968,13.0
147631,in+the+shadow+of+the+moon+2007,104.0
10556,advanced+style+2014,34.0
113882,amandla+a+revolution+in+four-part+harmony+2002,59.0
191291,wizards+1977,53.0
85133,the+long+goodbye+1973,53.0
193667,the+beast+with+five+fingers+1946,24.0
72920,how+to+train+your+dragon+2010,58.0
27934,the+tenant+1976,92.0
171516,once+upon+a+time+in+the+west+1968,174.0
280642,singin+in+the+rain+1952,20.0
235163,the+quarry+1998,36.0
125191,king+of+california+2007,75.0
97797,humanit+1999,38.0
214270,gandhi+1982,147.0
1557,i+hate+mondays+1971,50.0
125053,amistad+1997,102.0
208733,crash+2004,44.0
310669,scanners+iii+the+takeover+1992,65.0
261277,the+prowler+1951,83.0
254780,ice+cream+man+1995,70.0
9487,the+conformist+1970,14.0
319355,thor+2011,77.0
304384,a+bugs+life+1998,66.0
144756,days+of+darkness+2007,58.0
202914,zelig+1983,43.0
257214,like+it+is+1998,35.0
269956,alice+in+wonderland+2010,103.0
256915,princess+yang+kwei+fei+1955,48.0
15389,underground+1995,98.0
322586,duets+2000,55.0
88612,peppermint+soda+1977,97.0
22091,the+leopard+1963,131.0
131392,rudo++cursi+2008,32.0
333105,empire+of+dreams+the+story+of+the+star+wars+trilogy+2004,18.0
238021,dr.+mabuse_+the+gambler+1922,145.0
259906,fighter+in+the+wind+2004,106.0
80943,running+scared+2006,64.0
225261,girls+on+top+2001,13.0
25154,the+sacrifice+1986,41.0
13069,alive+1993,9.0
312676,life+is+a+miracle+2004,67.0
33104,hearty+paws+2006,6.0
169415,walle+2008,88.0
280041,camp+de+thiaroye+1988,138.0
241889,the+long_+hot+summer+1958,54.0
297419,the+raven+2006,27.0
88592,american+pie+1999,46.0
281776,one+bright+shining+moment+2005,26.0
324650,cinderella+man+2005,49.0
340374,conquest+1453+2012,97.0
135255,housebound+2014,102.0
40318,master+and+commander+the+far+side+of+the+world+2003,135.0
139605,sleeping+with+other+people+2015,57.0
91784,portrait+of+jennie+1948,28.0
163528,a+burning+hot+summer+2011,75.0
289474,the+way+we+laughed+1998,18.0
259088,tangled+2010,87.0
46924,spriggan+1998,4.0
215289,the+wild+bees+2001,49.0
239600,the+uninvited+2009,28.0
53640,breaking+the+waves+1996,3.0
42599,protektor+2009,86.0
340320,grosse+pointe+blank+1997,106.0
58538,kikis+delivery+service+1989,98.0
69696,tom+jones+1963,99.0
130749,men+in+black+ii+2002,54.0
253552,the+silver+chalice+1954,100.0
31337,the+act+of+killing+2012,59.0
71182,behind+the+candelabra+2013,113.0
2543,all+in+a+nights+work+1961,38.0
117087,alice+1990,74.0
86776,my+one+and+only+2009,27.0
177535,dead+ringers+1988,32.0
331941,magnum+force+1973,98.0
191647,the+piano+1993,99.0
139369,let+it+ride+1989,20.0
150507,prt--porter+1994,103.0
269895,the+catered+affair+1956,72.0
78516,a+beautiful+mind+2001,63.0
310491,the+wings+of+the+dove+1997,29.0
130313,straw+dogs+1971,16.0
142872,cross+of+iron+1977,125.0
221750,daddy+long+legs+1955,28.0
77043,widows+peak+1994,86.0
279006,paul+williams+still+alive+2011,20.0
270765,hababam+snf+tatilde+1977,59.0
301257,unknown+2006,42.0
70450,anatomy+of+a+murder+1959,60.0
283343,the+nutcracker+the+untold+story+2010,79.0
318596,metallica+some+kind+of+monster+2004,134.0
243723,women+arent+funny+2014,65.0
338707,troy+2004,75.0
198385,six+ways+to+sunday+1997,16.0
11773,houdini+2014,87.0
86390,bagdad+cafe+1987,24.0
77094,skin+2009,23.0
617,the+muppets+take+manhattan+1984,38.0
266786,jack++sarah+1995,41.0
339380,frankenstein+1931,20.0
264955,go+for+it+1983,62.0
16002,dawn+of+the+planet+of+the+apes+2014,20.0
271644,demons+2+1986,43.0
338190,pride+and+glory+2008,83.0
273086,the+color+of+pomegranates+1969,20.0
227701,the+handmaids+tale+1990,89.0
40328,shinjuku+incident+2009,118.0
65507,the+cruel+sea+1953,94.0
237821,inherit+the+wind+1999,99.0
152672,a+beginners+guide+to+endings+2010,17.0
135185,only+old+men+are+going+to+battle+1973,32.0
11913,the+killer+inside+me+2010,13.0
231258,comradeship+1931,47.0
309719,the+rolling+stones+stones+in+exile+2010,29.0
85828,cinderella+2015,20.0
29172,it+started+in+naples+1960,18.0
268655,21+2008,120.0
286440,never+again+2002,37.0
274583,cheeky+2000,12.0
338436,the+fallen+sparrow+1943,80.0
192547,pathology+2008,90.0
97186,ong+bak+2+2008,26.0
201164,anne+of+green+gables+the+sequel+1987,134.0
64578,notorious+1946,92.0
148133,dragonwyck+1946,73.0
29043,breathing+room+2008,56.0
221085,shoah+1985,109.0
238653,miss+violence+2013,79.0
236826,rivers+edge+1986,51.0
158218,13+assassins+2010,91.0
70540,the+worlds+greatest+athlete+1973,94.0
273174,the+3+worlds+of+gulliver+1960,27.0
272271,shrek+forever+after+2010,43.0
110590,2001+a+space+odyssey+1968,103.0
292437,high+and+low+1963,64.0
280091,strike+1925,60.0
110744,nightcrawler+2014,70.0
319152,gates+of+heaven+1978,32.0
152633,trouble+in+mind+1985,50.0
235458,man+facing+southeast+1986,11.0
81059,andrei+rublev+1966,95.0
245107,lost+horizon+1937,14.0
333394,fight+club+1999,29.0
210393,harry+potter+and+the+deathly+hallows+part+1+2010,20.0
182745,people_+places_+things+2015,40.0
95493,nuoruuteni+savotat+1988,46.0
162982,gunmans+walk+1958,94.0
325434,hungry+for+change+2012,30.0
160769,barefoot+gen+1983,30.0
9782,scream+2+1997,72.0
87921,petulia+1968,69.0
20709,chase+a+crooked+shadow+1958,52.0
168625,gacy+2003,15.0
137779,palo+alto+2014,14.0
275103,a+cab+for+three+2001,90.0
92118,the+matrix+revolutions+2003,13.0
3589,wit+2001,17.0
61745,the+avengers+2012,38.0
